"plotid"	"plothalfid1"	"inv"	"year"	"ammonifd_B"	"ammonifd_F"	"ammonifd_T"	"minzd_B"	"minzd_F"	"minzd_T"	"nhi_B"	"nhi_F"	"nhi_T"	"nitrifd_B"	"nitrifd_F"	"nitrifd_T"	"noi_B"	"noi_F"	"noi_T"	"soilmoi_B"	"soilmoi_F"	"soilmoi_T"	"som_B"	"som_F"	"som_T"	"toti_B"	"toti_F"	"toti_T"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"total"	"soilBasin"	"nTrees"	"BA_total"	"PercBA_ECM"
"19"	4	"I_4"	"I"	2011	NA	-0.001	NA	NA	0.0033	NA	NA	1.3281	NA	NA	0.0042	NA	NA	1.8498	NA	NA	13.354	NA	NA	2.8674	NA	NA	3.1779	NA	3.19	0.16	129.39	1.93	11.1	3.35	1	5	0.2513012964	0
"20"	4	"I_4"	"I"	2012	-0.0537	NA	0.0554	0.0114	NA	0.0923	2.0361	NA	1.2927	0.0651	NA	0.0369	1.2022	NA	3.0276	5.6338	NA	9.5436	2.4876	NA	7.3394	3.2383	NA	4.3203	3.12	0.03	100.4	2.59	NA	3.15	1	5	0.2513012964	0
"21"	4	"I_4"	"I"	2013	0.0732	NA	0.2018	0.1365	NA	0.2917	2.2926	NA	4.8382	0.0633	NA	0.0899	0.7646	NA	0.8271	13.1367	NA	21.4315	2.6235	NA	6.5824	3.0572	NA	5.6653	2.2	0.58	79.4	NA	NA	2.78	1	5	0.2513012964	0
"22"	4	"N_4"	"N"	2011	NA	-0.0017	NA	NA	7e-04	NA	NA	1.4071	NA	NA	0.0025	NA	NA	2.967	NA	NA	15.4472	NA	NA	4.4872	NA	NA	4.3741	NA	0	0	109.19	1.35	11.4	0	1	5	0.2513012964	0
"23"	4	"N_4"	"N"	2012	-0.0665	NA	0.0253	-0.0403	NA	0.0511	2.0769	NA	2.5754	0.0262	NA	0.0258	1.1561	NA	2.7439	7.6159	NA	12.5581	3.5842	NA	6.383	3.233	NA	5.3193	0	0.81	113.72	1.79	NA	0.81	1	5	0.2513012964	0
"24"	4	"N_4"	"N"	2013	-0.0671	NA	-0.0596	0.2023	NA	0.2496	1.1532	NA	1.794	0.2695	NA	0.3091	0.6415	NA	1.0818	14.0543	NA	27.2845	2.9547	NA	9.84	1.7948	NA	2.8757	0	0.4	83.48	NA	NA	0.4	1	5	0.2513012964	0
"25"	5	"I_5"	"I"	2011	NA	-1e-04	NA	NA	0.0061	NA	NA	0.71	NA	NA	0.0062	NA	NA	2.2416	NA	NA	13.3858	NA	NA	3.1818	NA	NA	2.9516	NA	12.79	0	116.5	4.32	11.9	12.79	1	3	0.143798886	0
"26"	5	"I_5"	"I"	2012	-0.0271	NA	-0.0255	0.2125	NA	0.1037	2.1334	NA	1.0266	NA	NA	0.1292	1e-04	NA	4.6615	7.0866	NA	12.234	2.1186	NA	6.0606	2.1334	NA	5.6881	14.2	0.03	207.76	5.27	NA	14.23	1	3	0.143798886	0
"27"	5	"I_5"	"I"	2013	0.0766	NA	0.5039	0.1858	NA	0.8831	1.0899	NA	2.8383	0.1093	NA	0.3792	0.5185	NA	0.9322	10.4247	NA	18.75	2.0936	NA	6.4473	1.6084	NA	3.7706	8.36	0	150.64	NA	NA	8.36	1	3	0.143798886	0
"28"	5	"N_5"	"N"	2011	NA	0.0014	NA	NA	0.0086	NA	NA	1.0668	NA	NA	0.0072	NA	NA	2.7679	NA	NA	12.7737	NA	NA	4.6025	NA	NA	3.8348	NA	0	0	231.25	2.94	11.9	0	1	3	0.143798886	0
"29"	5	"N_5"	"N"	2012	0.0503	NA	0.0627	0.1724	NA	0.2445	6.49	NA	5.3734	0.1221	NA	0.1819	1.8617	NA	3.1466	8.7786	NA	12.7358	3.3473	NA	8.6486	8.3517	NA	8.52	0	0.08	283.74	6.04	NA	0.08	1	3	0.143798886	0
"30"	5	"N_5"	"N"	2013	-0.0113	NA	-0.0524	0.1937	NA	0.6369	0.7575	NA	1.3791	0.205	NA	0.6893	0.7907	NA	1.6366	10.0126	NA	17.8349	2.0019	NA	6.0295	1.5482	NA	3.0157	0	0	251.03	NA	NA	0	1	3	0.143798886	0
"31"	6	"I_6"	"I"	2011	NA	1e-04	NA	NA	0.0034	NA	NA	0.4873	NA	NA	0.0033	NA	NA	1.215	NA	NA	11.0368	NA	NA	2.2556	NA	NA	1.7023	NA	2.9	0.23	107.55	7.05	11	3.13	1	5	0.1193784438	0
"32"	6	"I_6"	"I"	2012	0.0177	NA	-0.0478	0.0429	NA	0.0659	1.3558	NA	2.6789	0.0252	NA	0.1137	0.8201	NA	2.1628	4.6693	NA	9.1324	2.0408	NA	5.0251	2.1759	NA	4.8417	1.11	0.13	140.47	1.91	NA	1.24	1	5	0.1193784438	0
