"plotid"	"plothalfid1"	"inv"	"year"	"ammonifd_B"	"ammonifd_F"	"ammonifd_T"	"minzd_B"	"minzd_F"	"minzd_T"	"nhi_B"	"nhi_F"	"nhi_T"	"nitrifd_B"	"nitrifd_F"	"nitrifd_T"	"noi_B"	"noi_F"	"noi_T"	"soilmoi_B"	"soilmoi_F"	"soilmoi_T"	"som_B"	"som_F"	"som_T"	"toti_B"	"toti_F"	"toti_T"	"mv"	"nat"	"litter"	"percpar"	"soiltemp"	"total"	"soilBasin"	"nTrees"	"BA_total"	"PercBA_ECM"
"79"	14	"I_14"	"I"	2011	NA	-7e-04	NA	NA	0.0042	NA	NA	0.5754	NA	NA	0.005	NA	NA	0.5801	NA	NA	21.8659	NA	NA	5.2239	NA	NA	1.1555	NA	7.6	0.64	103.28	13.43	10.5	8.24	0	5	0.1770660738	0
"80"	14	"I_14"	"I"	2012	NA	NA	-0.1185	0.0128	NA	0.1837	1.9593	NA	2.8268	0.1059	NA	0.3022	1.573	NA	2.2926	20.9231	NA	26.3959	3.8911	NA	8.2759	3.5323	NA	5.1194	4.41	0.93	91.77	3.71	NA	5.34	0	5	0.1770660738	0
"81"	14	"I_14"	"I"	2013	0.1056	NA	0.2455	0.145	NA	0.2438	1.3111	NA	2.5971	0.0393	NA	-0.0017	1.0865	NA	4.9277	21.5512	NA	30.9464	2.7766	NA	6.454	2.3976	NA	7.5248	8.68	2.42	30.6	1.38	NA	11.1	0	5	0.1770660738	0
"82"	14	"N_14"	"N"	2011	NA	0.0019	NA	NA	0.0045	NA	NA	0.4019	NA	NA	0.0026	NA	NA	0.6607	NA	NA	21.0938	NA	NA	5.9406	NA	NA	1.0626	NA	0	0.79	117.23	13.9	11	0.79	0	5	0.1770660738	0
"83"	14	"N_14"	"N"	2012	-0.0596	NA	0.0625	-0.0252	NA	0.115	1.8156	NA	1.6805	0.0344	NA	0.0525	1.6501	NA	2.4767	14.5985	NA	20.3125	4.2735	NA	8.4967	3.4657	NA	4.1572	0	0.37	131.67	3.68	NA	0.37	0	5	0.1770660738	0
"84"	14	"N_14"	"N"	2013	-0.1122	NA	-0.2319	0.1583	NA	0.4029	2.8762	NA	3.6079	0.2705	NA	0.6348	0.8659	NA	2.136	18.7817	NA	24.5149	4	NA	9.4044	3.7421	NA	5.7439	0	2.99	110.92	2.36	NA	2.99	0	5	0.1770660738	0
"85"	15	"I_15"	"I"	2011	NA	-0.0015	NA	NA	0.0045	NA	NA	1.1099	NA	NA	0.006	NA	NA	0.8821	NA	NA	13.0564	NA	NA	5.1195	NA	NA	1.9919	NA	9.45	3.28	141.77	82.77	11.6	12.73	0	0	0	NA
"86"	15	"I_15"	"I"	2012	NA	NA	-0.0571	-0.0201	NA	-0.0607	1.7208	NA	1.7601	0.0617	NA	-0.0037	1.4556	NA	1.9018	11.4391	NA	16.9935	2.0833	NA	7.0866	3.1765	NA	3.662	69.76	9.43	70.7	82.59	NA	79.19	0	0	0	NA
"87"	15	"I_15"	"I"	2013	-0.0521	NA	-0.1493	0.0097	NA	-0.1093	1.3047	NA	2.6991	0.0618	NA	0.0401	0.4954	NA	1.5105	12.5072	NA	29.0279	1.7787	NA	10	1.8	NA	4.2096	29.13	52.42	134.81	64.95	NA	81.55	0	0	0	NA
"88"	15	"N_15"	"N"	2011	NA	-7e-04	NA	NA	0.0015	NA	NA	4.9216	NA	NA	0.0023	NA	NA	1.8999	NA	NA	13.6187	NA	NA	5.8559	NA	NA	6.8215	NA	0	28.04	187.32	87.7	11.3	28.04	0	0	0	NA
"89"	15	"N_15"	"N"	2012	NA	NA	0.0149	0.0258	NA	0.0562	1.1755	NA	2.1213	0.0817	NA	0.0414	0.9207	NA	1.688	10.6007	NA	16.4634	1.581	NA	6.5693	2.0963	NA	3.8093	0.11	28.08	29.27	97.99	NA	28.19	0	0	0	NA
"90"	15	"N_15"	"N"	2013	-0.1166	NA	0.7859	0.0943	NA	1.5666	2.1343	NA	3.6938	0.2109	NA	0.7807	1.0714	NA	2.0138	12.2689	NA	22.506	1.9157	NA	7.7549	3.2057	NA	5.7076	3.06	43.61	77.17	47.32	NA	46.67	0	0	0	NA
"91"	16	"I_16"	"I"	2011	NA	-9e-04	NA	NA	0.0037	NA	NA	0.986	NA	NA	0.0047	NA	NA	1.2724	NA	NA	19.0476	NA	NA	4.9774	NA	NA	2.2584	NA	5.31	0.53	141.78	33.21	10.9	5.84	0	9	0.2561236524	10.3819003636854
"92"	16	"I_16"	"I"	2012	NA	NA	-0.0354	-0.032	NA	0.0998	0.9594	NA	1.8164	0.0136	NA	0.1352	1.8026	NA	2.7443	9.3985	NA	12.4444	1.6598	NA	4.5685	2.762	NA	4.5607	4.77	1.19	101.72	2.59	NA	5.96	0	9	0.2561236524	10.3819003636854
"93"	16	"I_16"	"I"	2013	-0.0889	NA	0.3962	0.007	NA	0.5754	1.4236	NA	1.4583	0.0959	NA	0.1793	1.6367	NA	2.1312	12.8662	NA	17.8978	2.2263	NA	7.3325	3.0603	NA	3.5894	9.6	2.37	35.14	0.98	NA	11.97	0	9	0.2561236524	10.3819003636854
"94"	16	"N_16"	"N"	2011	NA	-8e-04	NA	NA	0.0018	NA	NA	0.6824	NA	NA	0.0025	NA	NA	0.1266	NA	NA	12.6316	NA	NA	4.2169	NA	NA	0.809	NA	0	0.08	312.19	9.9	11.1	0.08	0	9	0.2561236524	10.3819003636854
"95"	16	"N_16"	"N"	2012	NA	NA	-0.025	-0.0138	NA	-0.0038	0.8918	NA	1.1594	0.0286	NA	0.0213	1.7412	NA	2.9756	9.507	NA	12.6374	1.9455	NA	4.4025	2.6331	NA	4.135	0	0.08	136.07	2.88	NA	0.08	0	9	0.2561236524	10.3819003636854
"96"	16	"N_16"	"N"	2013	-0.04	NA	-0.0219	0.0645	NA	0.1033	1.37	NA	3.1769	0.1045	NA	0.1252	1.1066	NA	2.4979	7.4601	NA	11.2566	1.6775	NA	3.3506	2.4766	NA	5.6748	0	0.83	98.33	1.47	NA	0.83	0	9	0.2561236524	10.3819003636854
"97"	17	"I_17"	"I"	2011	NA	-0.0022	NA	NA	0.0075	NA	NA	1.5992	NA	NA	0.0097	NA	NA	3.3356	NA	NA	14.0056	NA	NA	3.5831	NA	NA	4.9348	NA	12.57	0.42	91.51	5.01	11.6	12.99	0	7	0.1758848322	0
"98"	17	"I_17"	"I"	2012	NA	NA	0.2476	0.0823	NA	0.1961	2.8811	NA	11.6806	0.2192	NA	-0.0515	4.6401	NA	6.6533	23.7942	NA	23.9583	5.9072	NA	17.8082	7.5212	NA	18.3339	20.88	0.63	123.08	8.29	NA	21.51	0	7	0.1758848322	0
"99"	17	"I_17"	"I"	2013	0.018	NA	0.2311	0.1893	NA	0.4269	3.2806	NA	5.4732	0.1712	NA	0.1957	1.9209	NA	4.1128	22.2744	NA	27.5073	4.3159	NA	6.9579	5.2016	NA	9.586	9.19	7.45	55.67	8.76	NA	16.64	0	7	0.1758848322	0
"100"	17	"N_17"	"N"	2011	NA	8e-04	NA	NA	0.0121	NA	NA	2.3199	NA	NA	0.0112	NA	NA	1.0734	NA	NA	12.8676	NA	NA	3.3755	NA	NA	3.3933	NA	0	0.74	92.97	4.16	11.3	0.74	0	7	0.1758848322	0
"101"	17	"N_17"	"N"	2012	-0.0184	NA	-0.1028	-0.0277	NA	0.3483	3.11	NA	3.2446	-0.0093	NA	0.4511	2.0475	NA	4.2473	13.1034	NA	27.6699	5.1587	NA	8.7248	5.1575	NA	7.4919	0	0.19	190.19	5.7	NA	0.19	0	7	0.1758848322	0
"102"	17	"N_17"	"N"	2013	-0.0272	NA	-0.3308	0.1422	NA	0.5672	3.7437	NA	6.2877	0.1694	NA	0.898	2.3655	NA	2.7845	17.974	NA	31.508	5.0348	NA	16.2437	6.1092	NA	9.0722	0	5.94	121.94	7.26	NA	5.94	0	7	0.1758848322	0
"103"	18	"I_18"	"I"	2011	NA	1e-04	NA	NA	0.0049	NA	NA	1.5789	NA	NA	0.0048	NA	NA	0.9851	NA	NA	9.7744	NA	NA	3.3333	NA	NA	2.564	NA	1.15	6.24	118.47	6.98	12	7.39	0	7	0.1354532256	0
"104"	18	"I_18"	"I"	2012	NA	NA	-0.0493	-0.0094	NA	0.1491	1.7542	NA	5.1975	0.0739	NA	0.1984	2.5644	NA	3.6024	19.3182	NA	27.7778	4.2254	NA	7.6923	4.3186	NA	8.7999	0.7	0.32	182.59	2.24	NA	1.02	0	7	0.1354532256	0
"105"	18	"I_18"	"I"	2013	-0.1104	NA	0.1971	-0.0463	NA	0.7531	2.6959	NA	6.7716	0.0641	NA	0.5561	2.5498	NA	3.0804	17.4802	NA	26.8452	2.7178	NA	7.1217	5.2458	NA	9.852	0.4	0.24	86.47	3.88	NA	0.64	0	7	0.1354532256	0
"106"	18	"N_18"	"N"	2011	NA	0.0019	NA	NA	0.0081	NA	NA	1.2853	NA	NA	0.0063	NA	NA	1.2653	NA	NA	8.5987	NA	NA	2.439	NA	NA	2.5506	NA	0	0.14	286.22	4.34	12.8	0.14	0	7	0.1354532256	0
"107"	18	"N_18"	"N"	2012	0.0301	NA	0.1913	0.0262	NA	0.2637	2.2746	NA	6.1885	-0.0039	NA	0.0723	3.1644	NA	5.1289	17.316	NA	26.7658	4.1885	NA	11.6751	5.4389	NA	11.3174	0	0	396.93	1.72	NA	0	0	7	0.1354532256	0
"108"	18	"N_18"	"N"	2013	-0.096	NA	-0.0454	-0.04	NA	0.4249	2.0362	NA	5.1574	0.056	NA	0.4703	1.612	NA	2.181	17.3065	NA	27.9923	3.0561	NA	8.4259	3.6482	NA	7.3385	0	1.4	230.17	4.48	NA	1.4	0	7	0.1354532256	0
