"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"note"	"varType"	"measLevel"
"517"	15	"I_15"	"I"	2011	"minzd_F"	0.0045	NA	"measCat"	"plothalf"
"520"	15	"N_15"	"N"	2011	"minzd_F"	0.0015	NA	"measCat"	"plothalf"
"523"	16	"I_16"	"I"	2011	"minzd_F"	0.0037	NA	"measCat"	"plothalf"
"526"	16	"N_16"	"N"	2011	"minzd_F"	0.0018	NA	"measCat"	"plothalf"
"529"	17	"I_17"	"I"	2011	"minzd_F"	0.0075	NA	"measCat"	"plothalf"
"532"	17	"N_17"	"N"	2011	"minzd_F"	0.0121	NA	"measCat"	"plothalf"
"535"	18	"I_18"	"I"	2011	"minzd_F"	0.0049	NA	"measCat"	"plothalf"
"538"	18	"N_18"	"N"	2011	"minzd_F"	0.0081	NA	"measCat"	"plothalf"
"757"	1	"I_1"	"I"	2011	"nhi_F"	1.2285	NA	"measCat"	"plothalf"
"760"	1	"N_1"	"N"	2011	"nhi_F"	1.5433	NA	"measCat"	"plothalf"
"763"	2	"I_2"	"I"	2011	"nhi_F"	0.8976	NA	"measCat"	"plothalf"
"766"	2	"N_2"	"N"	2011	"nhi_F"	0.8709	NA	"measCat"	"plothalf"
"769"	3	"I_3"	"I"	2011	"nhi_F"	0.9289	NA	"measCat"	"plothalf"
"772"	3	"N_3"	"N"	2011	"nhi_F"	1.1685	NA	"measCat"	"plothalf"
"775"	4	"I_4"	"I"	2011	"nhi_F"	1.3281	NA	"measCat"	"plothalf"
"778"	4	"N_4"	"N"	2011	"nhi_F"	1.4071	NA	"measCat"	"plothalf"
"781"	5	"I_5"	"I"	2011	"nhi_F"	0.71	NA	"measCat"	"plothalf"
"784"	5	"N_5"	"N"	2011	"nhi_F"	1.0668	NA	"measCat"	"plothalf"
"787"	6	"I_6"	"I"	2011	"nhi_F"	0.4873	NA	"measCat"	"plothalf"
"790"	6	"N_6"	"N"	2011	"nhi_F"	0.9177	NA	"measCat"	"plothalf"
"793"	7	"I_7"	"I"	2011	"nhi_F"	0.9436	NA	"measCat"	"plothalf"
"796"	7	"N_7"	"N"	2011	"nhi_F"	0.7786	NA	"measCat"	"plothalf"
"799"	8	"I_8"	"I"	2011	"nhi_F"	0.8316	NA	"measCat"	"plothalf"
"802"	8	"N_8"	"N"	2011	"nhi_F"	1.3479	NA	"measCat"	"plothalf"
"805"	9	"I_9"	"I"	2011	"nhi_F"	0.7453	NA	"measCat"	"plothalf"
"808"	9	"N_9"	"N"	2011	"nhi_F"	0.7776	NA	"measCat"	"plothalf"
"811"	10	"I_10"	"I"	2011	"nhi_F"	1.4316	NA	"measCat"	"plothalf"
"814"	10	"N_10"	"N"	2011	"nhi_F"	2.352	NA	"measCat"	"plothalf"
"817"	11	"I_11"	"I"	2011	"nhi_F"	1.6587	NA	"measCat"	"plothalf"
"820"	11	"N_11"	"N"	2011	"nhi_F"	0.8969	NA	"measCat"	"plothalf"
"823"	12	"I_12"	"I"	2011	"nhi_F"	1.0597	NA	"measCat"	"plothalf"
"826"	12	"N_12"	"N"	2011	"nhi_F"	1.9394	NA	"measCat"	"plothalf"
"829"	13	"I_13"	"I"	2011	"nhi_F"	0.6223	NA	"measCat"	"plothalf"
"832"	13	"N_13"	"N"	2011	"nhi_F"	0.7857	NA	"measCat"	"plothalf"
"835"	14	"I_14"	"I"	2011	"nhi_F"	0.5754	NA	"measCat"	"plothalf"
"838"	14	"N_14"	"N"	2011	"nhi_F"	0.4019	NA	"measCat"	"plothalf"
"841"	15	"I_15"	"I"	2011	"nhi_F"	1.1099	NA	"measCat"	"plothalf"
"844"	15	"N_15"	"N"	2011	"nhi_F"	4.9216	NA	"measCat"	"plothalf"
"847"	16	"I_16"	"I"	2011	"nhi_F"	0.986	NA	"measCat"	"plothalf"
"850"	16	"N_16"	"N"	2011	"nhi_F"	0.6824	NA	"measCat"	"plothalf"
"853"	17	"I_17"	"I"	2011	"nhi_F"	1.5992	NA	"measCat"	"plothalf"
