"plotid"	"year"	"Diff_noi_T"	"Diff_noi_B"	"Diff_ammonifd_T"	"Diff_ammonifd_B"	"Diff_nitrifd_T"	"Diff_nitrifd_B"	"Diff_minzd_T"	"Diff_minzd_B"	"nhi_T"	"nhi_B"	"noi_T"	"noi_B"	"ammonifd_T"	"ammonifd_B"	"nitrifd_T"	"nitrifd_B"	"minzd_T"	"minzd_B"	"soilmoi_T"	"soilmoi_B"	"som_T"	"som_B"	"ph_T"	"ph_B"	"nat_g.m2"	"litter_g.m2"	"percpar"	"nTrees"	"BA_total"	"PercBA_AM"	"mv_g.m2"	"mv_g.m2_logt"	"plotYear"
"16"	18	2013	0.8994	0.9378	0.2425	-0.0144	0.0858	0.0081	0.3282	-0.0063	5.1574	2.0362	2.181	1.612	-0.0454	-0.096	0.4703	0.056	0.4249	-0.04	27.9923	17.3065	8.4259	3.0561	5.91	6.01	7.46666666666667	1227.57333333333	4.48	7	0.1354532256	100	2.13333333333333	0.757685701697515	"18_2013"
"17"	2	2012	2.2121	0.2267	0.1213	0.0728	-0.0789	0.0045	0.0424	0.0774	2.3465	0.9158	2.4318	2.2816	0.0702	-0.0369	0.0415	-0.0192	0.1117	-0.0562	10.7407	7.2816	5.8091	1.5707	5.94	5.515	100.533333333333	1308.69333333333	3.06	4	0.5770914996	18.9104404891844	16.3733333333333	2.79565399517078	"2_2012"
"18"	2	2013	0.00679999999999992	0.0863999999999999	0.6646	0.00989999999999999	-0.0081	0.0499	0.6565	0.0598	3.8264	1.35	0.5985	0.5833	-0.1731	0.1521	0.1389	0.0356	-0.0342	0.1877	16.1372	10.9051	7.5758	1.9584	6.57	6.845	74.2933333333333	912.053333333333	7.87	4	0.5770914996	18.9104404891844	51.4133333333333	3.93989754219412	"2_2013"
"19"	3	2012	0.1043	0.1265	-0.1806	-0.366	0.0259	0.0084	-0.1548	-0.3576	1.6032	1.8128	2.3053	2.5169	0.1502	0.3187	0.0414	-0.0061	0.1916	0.3126	9.1743	6.5789	6.0606	3.5211	6.215	5.72	6.56	1467.09333333333	3.63	7	0.3421705056	26.0671067611737	25.9733333333333	3.25707037066617	"3_2012"
"20"	3	2013	-0.2434	0.3541	0.1069	-0.1771	-0.3352	-0.0167	-0.2283	-0.1938	2.3711	2.1452	0.8716	0.6493	-0.0531	0.2803	0.4406	0.0941	0.3875	0.3744	18.892	12.7652	7.9115	3.5521	6.725	6.465	16.7466666666667	576.586666666667	10.34	7	0.3421705056	26.0671067611737	9.38666666666667	2.23929024262173	"3_2013"
"21"	4	2012	0.2837	0.0461	0.0301	0.0128	0.0111	0.0389	0.0412	0.0517	2.5754	2.0769	2.7439	1.1561	0.0253	-0.0665	0.0258	0.0262	0.0511	-0.0403	12.5581	7.6159	6.383	3.5842	6.66	6.055	4.32	606.506666666667	1.79	5	0.2513012964	100	16.64	2.81180943539306	"4_2012"
"22"	4	2013	-0.2547	0.1231	0.2614	0.1403	-0.2192	-0.2062	0.0421	-0.0658	1.794	1.1532	1.0818	0.6415	-0.0596	-0.0671	0.3091	0.2695	0.2496	0.2023	27.2845	14.0543	9.84	2.9547	6.58	6.77	2.13333333333333	445.226666666667	NA	5	0.2513012964	100	11.7333333333333	2.46243379393594	"4_2013"
"23"	5	2012	1.5149	-1.8616	-0.0882	-0.0774	-0.0527	NA	-0.1408	0.0401	5.3734	6.49	3.1466	1.8617	0.0627	0.0503	0.1819	0.1221	0.2445	0.1724	12.7358	8.7786	8.6486	3.3473	6.85	5.3	0.426666666666667	1513.28	6.04	3	0.143798886	100	75.7333333333333	4.32721839817889	"5_2012"
"24"	5	2013	-0.7044	-0.2722	0.5563	0.0879	-0.3101	-0.0957	0.2462	-0.00790000000000002	1.3791	0.7575	1.6366	0.7907	-0.0524	-0.0113	0.6893	0.205	0.6369	0.1937	17.8349	10.0126	6.0295	2.0019	6.195	6.365	0	1338.82666666667	NA	3	0.143798886	100	44.5866666666667	3.79743486066828	"5_2013"
"25"	6	2012	0.3004	-0.5494	-0.0252	0.05	0.0024	0.0185	-0.0228	0.0686	2.4949	1.8004	1.8624	1.3695	-0.0226	-0.0323	0.1113	0.0067	0.0887	-0.0257	10.3448	4.9618	5.1282	2.008	5.44	5.865	0.426666666666667	924.32	1.93	5	0.1193784438	100	5.92	1.77833644889591	"6_2012"
"26"	6	2013	-0.2766	-0.0508	0.0382	-0.0124	-0.172	0.036	-0.1339	0.0237	0.5682	0.7169	0.7417	0.227	0.0188	-0.0017	0.3438	0.0559	0.3627	0.0542	18.0576	9.7963	4.5265	1.3936	6.61	6.415	31.7333333333333	812.053333333333	NA	5	0.1193784438	100	6.4	1.85629799036563	"6_2013"
"27"	7	2012	-0.862	-0.3667	0.0432	-0.0212	-0.278	-0.1642	-0.2347	-0.1855	3.2656	0.8709	4.1354	3.427	-0.1102	-0.024	0.7818	0.2436	0.6716	0.2196	37.3188	26.2963	10.9827	6.0302	5.79	5.92	101.6	143.573333333333	5.96	2	0.1869786072	100	70.0266666666667	4.24887612188638	"7_2012"
"28"	7	2013	-1.5191	0.1594	-0.158	0.0581	-1.1979	0.1502	-1.3559	0.2084	0.6724	3.6827	2.8603	1.5038	-0.0177	-0.2362	1.3269	0.5452	1.3092	0.3089	45.9726	28.0992	9.2827	4.4444	6.06	6.305	109.706666666667	18.88	NA	2	0.1869786072	100	35.4666666666667	3.56859328823944	"7_2013"
"29"	8	2012	0.2045	-0.646	-0.0179	0.0493	-0.0402	-0.1212	-0.0581	-0.0719	2.1979	2.5607	2.3899	1.7695	-0.0603	-0.1035	0.1241	0.186	0.0638	0.0825	18.8462	15.4321	6.1611	5.1095	6.49	6.2	1.49333333333333	916.48	6.79	6	0.231665511	5.38233349719458	79.84	4.38002463200321	"8_2012"
"30"	8	2013	0.1733	0.2307	0.00219999999999999	0.0378	-0.1749	0.1193	-0.1727	0.1572	2.0145	1.7677	0.8696	0.5666	-0.0648	-0.1045	0.5117	0.2787	0.4469	0.1741	16.3823	12.3267	6.4898	4.0422	6.445	6.46	5.97333333333333	869.92	NA	6	0.231665511	5.38233349719458	62.0266666666667	4.12756440010225	"8_2013"
"31"	9	2012	0.1946	-0.1611	0.0434	-0.0285	-0.0185	0.1321	0.0249	0.1036	2.1898	1.0714	2.5639	1.6853	-0.0563	-0.0163	0.2848	-0.0048	0.2285	-0.0211	16.791	11.284	5.3812	3.0702	5.22	5.485	71.52	483.2	2.01	4	0.6801100614	100	148.266666666667	4.99901245426827	"9_2012"
"32"	9	2013	0.0310999999999999	0.5873	0.125	0.4119	0.4159	0.4519	0.541	0.8638	1.9715	3.1081	0.5399	0.3511	-0.1326	-0.213	-0.0109	0.0579	-0.1435	-0.1551	18.1782	16.6099	4.5783	3.3122	5.83	5.735	92.3733333333333	354.026666666667	NA	4	0.6801100614	100	61.3333333333333	4.11632346894087	"9_2013"
