"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"note"	"varType"	"measLevel"	"variable1"
"442"	3	"N_3"	"N"	2011	"minzd_F"	0.0019	NA	"measCat"	"plothalf"	"minzd_F_N"
"445"	4	"I_4"	"I"	2011	"minzd_F"	0.0033	NA	"measCat"	"plothalf"	"minzd_F_I"
"448"	4	"N_4"	"N"	2011	"minzd_F"	7e-04	NA	"measCat"	"plothalf"	"minzd_F_N"
"451"	5	"I_5"	"I"	2011	"minzd_F"	0.0061	NA	"measCat"	"plothalf"	"minzd_F_I"
"454"	5	"N_5"	"N"	2011	"minzd_F"	0.0086	NA	"measCat"	"plothalf"	"minzd_F_N"
"457"	6	"I_6"	"I"	2011	"minzd_F"	0.0034	NA	"measCat"	"plothalf"	"minzd_F_I"
"460"	6	"N_6"	"N"	2011	"minzd_F"	0.0059	NA	"measCat"	"plothalf"	"minzd_F_N"
"463"	7	"I_7"	"I"	2011	"minzd_F"	0.0046	NA	"measCat"	"plothalf"	"minzd_F_I"
"466"	7	"N_7"	"N"	2011	"minzd_F"	0.0094	NA	"measCat"	"plothalf"	"minzd_F_N"
"469"	8	"I_8"	"I"	2011	"minzd_F"	0.0033	NA	"measCat"	"plothalf"	"minzd_F_I"
"472"	8	"N_8"	"N"	2011	"minzd_F"	0.0245	NA	"measCat"	"plothalf"	"minzd_F_N"
"475"	9	"I_9"	"I"	2011	"minzd_F"	0.007	NA	"measCat"	"plothalf"	"minzd_F_I"
"478"	9	"N_9"	"N"	2011	"minzd_F"	0.0073	NA	"measCat"	"plothalf"	"minzd_F_N"
"673"	1	"I_1"	"I"	2011	"nhi_F"	1.2285	NA	"measCat"	"plothalf"	"nhi_F_I"
"676"	1	"N_1"	"N"	2011	"nhi_F"	1.5433	NA	"measCat"	"plothalf"	"nhi_F_N"
"679"	10	"I_10"	"I"	2011	"nhi_F"	1.4316	NA	"measCat"	"plothalf"	"nhi_F_I"
"682"	10	"N_10"	"N"	2011	"nhi_F"	2.352	NA	"measCat"	"plothalf"	"nhi_F_N"
"685"	11	"I_11"	"I"	2011	"nhi_F"	1.6587	NA	"measCat"	"plothalf"	"nhi_F_I"
