"plotid"	"plothalfid1"	"inv"	"year"	"variable"	"value"	"note"	"varType"	"measLevel"	"variable1"
"2131"	13	"I_13"	"I"	2011	"toti_F"	0.6223	NA	"measCat"	"plothalf"	"toti_F_I"
"2134"	13	"N_13"	"N"	2011	"toti_F"	1.9717	NA	"measCat"	"plothalf"	"toti_F_N"
"2137"	14	"I_14"	"I"	2011	"toti_F"	1.1555	NA	"measCat"	"plothalf"	"toti_F_I"
"2140"	14	"N_14"	"N"	2011	"toti_F"	1.0626	NA	"measCat"	"plothalf"	"toti_F_N"
"2143"	16	"I_16"	"I"	2011	"toti_F"	2.2584	NA	"measCat"	"plothalf"	"toti_F_I"
"2146"	16	"N_16"	"N"	2011	"toti_F"	0.809	NA	"measCat"	"plothalf"	"toti_F_N"
"2149"	17	"I_17"	"I"	2011	"toti_F"	4.9348	NA	"measCat"	"plothalf"	"toti_F_I"
"2152"	17	"N_17"	"N"	2011	"toti_F"	3.3933	NA	"measCat"	"plothalf"	"toti_F_N"
"2155"	18	"I_18"	"I"	2011	"toti_F"	2.564	NA	"measCat"	"plothalf"	"toti_F_I"
"2158"	18	"N_18"	"N"	2011	"toti_F"	2.5506	NA	"measCat"	"plothalf"	"toti_F_N"
"2161"	2	"I_2"	"I"	2011	"toti_F"	3.4573	NA	"measCat"	"plothalf"	"toti_F_I"
"2164"	2	"N_2"	"N"	2011	"toti_F"	2.589	NA	"measCat"	"plothalf"	"toti_F_N"
"2167"	3	"I_3"	"I"	2011	"toti_F"	3.0376	NA	"measCat"	"plothalf"	"toti_F_I"
"2170"	3	"N_3"	"N"	2011	"toti_F"	3.6288	NA	"measCat"	"plothalf"	"toti_F_N"
"2173"	4	"I_4"	"I"	2011	"toti_F"	3.1779	NA	"measCat"	"plothalf"	"toti_F_I"
"2176"	4	"N_4"	"N"	2011	"toti_F"	4.3741	NA	"measCat"	"plothalf"	"toti_F_N"
"2179"	5	"I_5"	"I"	2011	"toti_F"	2.9516	NA	"measCat"	"plothalf"	"toti_F_I"
"2182"	5	"N_5"	"N"	2011	"toti_F"	3.8348	NA	"measCat"	"plothalf"	"toti_F_N"
"2185"	6	"I_6"	"I"	2011	"toti_F"	1.7023	NA	"measCat"	"plothalf"	"toti_F_I"
"2188"	6	"N_6"	"N"	2011	"toti_F"	0.9177	NA	"measCat"	"plothalf"	"toti_F_N"
"2191"	7	"I_7"	"I"	2011	"toti_F"	4.1967	NA	"measCat"	"plothalf"	"toti_F_I"
"2194"	7	"N_7"	"N"	2011	"toti_F"	3.4876	NA	"measCat"	"plothalf"	"toti_F_N"
"2197"	8	"I_8"	"I"	2011	"toti_F"	2.7033	NA	"measCat"	"plothalf"	"toti_F_I"
"2200"	8	"N_8"	"N"	2011	"toti_F"	4.1923	NA	"measCat"	"plothalf"	"toti_F_N"
"2203"	9	"I_9"	"I"	2011	"toti_F"	1.5807	NA	"measCat"	"plothalf"	"toti_F_I"
"2206"	9	"N_9"	"N"	2011	"toti_F"	1.9301	NA	"measCat"	"plothalf"	"toti_F_N"
"2401"	1	"I_1"	"I"	2011	"ph_F"	4.72	NA	"measCat"	"plothalf"	"ph_F_I"
"2404"	1	"N_1"	"N"	2011	"ph_F"	5.54	NA	"measCat"	"plothalf"	"ph_F_N"
"2407"	10	"I_10"	"I"	2011	"ph_F"	5.965	NA	"measCat"	"plothalf"	"ph_F_I"
"2410"	10	"N_10"	"N"	2011	"ph_F"	5.94	NA	"measCat"	"plothalf"	"ph_F_N"
"2413"	11	"I_11"	"I"	2011	"ph_F"	6.265	NA	"measCat"	"plothalf"	"ph_F_I"
"2416"	11	"N_11"	"N"	2011	"ph_F"	6.165	NA	"measCat"	"plothalf"	"ph_F_N"
"2419"	13	"I_13"	"I"	2011	"ph_F"	5.965	NA	"measCat"	"plothalf"	"ph_F_I"
"2422"	13	"N_13"	"N"	2011	"ph_F"	5.585	NA	"measCat"	"plothalf"	"ph_F_N"
"2425"	14	"I_14"	"I"	2011	"ph_F"	5.22	NA	"measCat"	"plothalf"	"ph_F_I"
"2428"	14	"N_14"	"N"	2011	"ph_F"	5.69	NA	"measCat"	"plothalf"	"ph_F_N"
"2431"	16	"I_16"	"I"	2011	"ph_F"	5.655	NA	"measCat"	"plothalf"	"ph_F_I"
"2434"	16	"N_16"	"N"	2011	"ph_F"	6.045	NA	"measCat"	"plothalf"	"ph_F_N"
"2437"	17	"I_17"	"I"	2011	"ph_F"	5.875	NA	"measCat"	"plothalf"	"ph_F_I"
"2440"	17	"N_17"	"N"	2011	"ph_F"	6.185	NA	"measCat"	"plothalf"	"ph_F_N"
"2443"	18	"I_18"	"I"	2011	"ph_F"	5.955	NA	"measCat"	"plothalf"	"ph_F_I"
"2446"	18	"N_18"	"N"	2011	"ph_F"	5.84	NA	"measCat"	"plothalf"	"ph_F_N"
"2449"	2	"I_2"	"I"	2011	"ph_F"	5.895	NA	"measCat"	"plothalf"	"ph_F_I"
"2452"	2	"N_2"	"N"	2011	"ph_F"	5.81	NA	"measCat"	"plothalf"	"ph_F_N"
"2455"	3	"I_3"	"I"	2011	"ph_F"	5.96	NA	"measCat"	"plothalf"	"ph_F_I"
"2458"	3	"N_3"	"N"	2011	"ph_F"	5.715	NA	"measCat"	"plothalf"	"ph_F_N"
"2461"	4	"I_4"	"I"	2011	"ph_F"	6.09	NA	"measCat"	"plothalf"	"ph_F_I"
"2464"	4	"N_4"	"N"	2011	"ph_F"	6.06	NA	"measCat"	"plothalf"	"ph_F_N"
"2467"	5	"I_5"	"I"	2011	"ph_F"	5.78	NA	"measCat"	"plothalf"	"ph_F_I"
"2470"	5	"N_5"	"N"	2011	"ph_F"	5.325	NA	"measCat"	"plothalf"	"ph_F_N"
"2473"	6	"I_6"	"I"	2011	"ph_F"	5.645	NA	"measCat"	"plothalf"	"ph_F_I"
"2476"	6	"N_6"	"N"	2011	"ph_F"	5.375	NA	"measCat"	"plothalf"	"ph_F_N"
"2479"	7	"I_7"	"I"	2011	"ph_F"	5.815	NA	"measCat"	"plothalf"	"ph_F_I"
"2482"	7	"N_7"	"N"	2011	"ph_F"	5.87	NA	"measCat"	"plothalf"	"ph_F_N"
"2485"	8	"I_8"	"I"	2011	"ph_F"	6.285	NA	"measCat"	"plothalf"	"ph_F_I"
"2488"	8	"N_8"	"N"	2011	"ph_F"	6.155	NA	"measCat"	"plothalf"	"ph_F_N"
"2491"	9	"I_9"	"I"	2011	"ph_F"	5.925	NA	"measCat"	"plothalf"	"ph_F_I"
"2494"	9	"N_9"	"N"	2011	"ph_F"	5.6	NA	"measCat"	"plothalf"	"ph_F_N"
"2593"	1	"I_1"	"I"	2011	"percpar"	27.89	NA	"environParam"	"plothalf"	"percpar_I"
"2594"	1	"I_1"	"I"	2012	"percpar"	42.63	NA	"environParam"	"plothalf"	"percpar_I"
"2595"	1	"I_1"	"I"	2013	"percpar"	68.67	NA	"environParam"	"plothalf"	"percpar_I"
"2596"	1	"N_1"	"N"	2011	"percpar"	23.72	NA	"environParam"	"plothalf"	"percpar_N"
"2597"	1	"N_1"	"N"	2012	"percpar"	55.91	NA	"environParam"	"plothalf"	"percpar_N"
"2598"	1	"N_1"	"N"	2013	"percpar"	79.63	NA	"environParam"	"plothalf"	"percpar_N"
"2599"	10	"I_10"	"I"	2011	"percpar"	15.77	NA	"environParam"	"plothalf"	"percpar_I"
"2600"	10	"I_10"	"I"	2012	"percpar"	2.64	NA	"environParam"	"plothalf"	"percpar_I"
"2601"	10	"I_10"	"I"	2013	"percpar"	0.4	NA	"environParam"	"plothalf"	"percpar_I"
"2602"	10	"N_10"	"N"	2011	"percpar"	10.68	NA	"environParam"	"plothalf"	"percpar_N"
"2603"	10	"N_10"	"N"	2012	"percpar"	26.01	NA	"environParam"	"plothalf"	"percpar_N"
"2604"	10	"N_10"	"N"	2013	"percpar"	13.96	NA	"environParam"	"plothalf"	"percpar_N"
"2605"	11	"I_11"	"I"	2011	"percpar"	53.83	NA	"environParam"	"plothalf"	"percpar_I"
"2606"	11	"I_11"	"I"	2012	"percpar"	72.79	NA	"environParam"	"plothalf"	"percpar_I"
"2607"	11	"I_11"	"I"	2013	"percpar"	71.34	NA	"environParam"	"plothalf"	"percpar_I"
"2608"	11	"N_11"	"N"	2011	"percpar"	16.1	NA	"environParam"	"plothalf"	"percpar_N"
"2609"	11	"N_11"	"N"	2012	"percpar"	14.82	NA	"environParam"	"plothalf"	"percpar_N"
"2610"	11	"N_11"	"N"	2013	"percpar"	63.8	NA	"environParam"	"plothalf"	"percpar_N"
"2611"	13	"I_13"	"I"	2011	"percpar"	15.93	NA	"environParam"	"plothalf"	"percpar_I"
"2612"	13	"I_13"	"I"	2012	"percpar"	8.36	NA	"environParam"	"plothalf"	"percpar_I"
"2613"	13	"I_13"	"I"	2013	"percpar"	3.94	NA	"environParam"	"plothalf"	"percpar_I"
"2614"	13	"N_13"	"N"	2011	"percpar"	7.98	NA	"environParam"	"plothalf"	"percpar_N"
"2615"	13	"N_13"	"N"	2012	"percpar"	5.89	NA	"environParam"	"plothalf"	"percpar_N"
"2616"	13	"N_13"	"N"	2013	"percpar"	3.09	NA	"environParam"	"plothalf"	"percpar_N"
"2617"	14	"I_14"	"I"	2011	"percpar"	13.43	NA	"environParam"	"plothalf"	"percpar_I"
"2618"	14	"I_14"	"I"	2012	"percpar"	3.71	NA	"environParam"	"plothalf"	"percpar_I"
"2619"	14	"I_14"	"I"	2013	"percpar"	1.38	NA	"environParam"	"plothalf"	"percpar_I"
"2620"	14	"N_14"	"N"	2011	"percpar"	13.9	NA	"environParam"	"plothalf"	"percpar_N"
"2621"	14	"N_14"	"N"	2012	"percpar"	3.68	NA	"environParam"	"plothalf"	"percpar_N"
"2622"	14	"N_14"	"N"	2013	"percpar"	2.36	NA	"environParam"	"plothalf"	"percpar_N"
"2623"	16	"I_16"	"I"	2011	"percpar"	33.21	NA	"environParam"	"plothalf"	"percpar_I"
"2624"	16	"I_16"	"I"	2012	"percpar"	2.59	NA	"environParam"	"plothalf"	"percpar_I"
"2625"	16	"I_16"	"I"	2013	"percpar"	0.98	NA	"environParam"	"plothalf"	"percpar_I"
"2626"	16	"N_16"	"N"	2011	"percpar"	9.9	NA	"environParam"	"plothalf"	"percpar_N"
"2627"	16	"N_16"	"N"	2012	"percpar"	2.88	NA	"environParam"	"plothalf"	"percpar_N"
"2628"	16	"N_16"	"N"	2013	"percpar"	1.47	NA	"environParam"	"plothalf"	"percpar_N"
"2629"	17	"I_17"	"I"	2011	"percpar"	5.01	NA	"environParam"	"plothalf"	"percpar_I"
"2630"	17	"I_17"	"I"	2012	"percpar"	8.29	NA	"environParam"	"plothalf"	"percpar_I"
"2631"	17	"I_17"	"I"	2013	"percpar"	8.76	NA	"environParam"	"plothalf"	"percpar_I"
"2632"	17	"N_17"	"N"	2011	"percpar"	4.16	NA	"environParam"	"plothalf"	"percpar_N"
"2633"	17	"N_17"	"N"	2012	"percpar"	5.7	NA	"environParam"	"plothalf"	"percpar_N"
"2634"	17	"N_17"	"N"	2013	"percpar"	7.26	NA	"environParam"	"plothalf"	"percpar_N"
"2635"	18	"I_18"	"I"	2011	"percpar"	6.98	NA	"environParam"	"plothalf"	"percpar_I"
"2636"	18	"I_18"	"I"	2012	"percpar"	2.24	NA	"environParam"	"plothalf"	"percpar_I"
"2637"	18	"I_18"	"I"	2013	"percpar"	3.88	NA	"environParam"	"plothalf"	"percpar_I"
"2638"	18	"N_18"	"N"	2011	"percpar"	4.34	NA	"environParam"	"plothalf"	"percpar_N"
"2639"	18	"N_18"	"N"	2012	"percpar"	1.72	NA	"environParam"	"plothalf"	"percpar_N"
"2640"	18	"N_18"	"N"	2013	"percpar"	4.48	NA	"environParam"	"plothalf"	"percpar_N"
"2641"	2	"I_2"	"I"	2011	"percpar"	2.5	NA	"environParam"	"plothalf"	"percpar_I"
"2642"	2	"I_2"	"I"	2012	"percpar"	4.09	NA	"environParam"	"plothalf"	"percpar_I"
"2643"	2	"I_2"	"I"	2013	"percpar"	6.48	NA	"environParam"	"plothalf"	"percpar_I"
"2644"	2	"N_2"	"N"	2011	"percpar"	17.98	NA	"environParam"	"plothalf"	"percpar_N"
"2645"	2	"N_2"	"N"	2012	"percpar"	3.06	NA	"environParam"	"plothalf"	"percpar_N"
"2646"	2	"N_2"	"N"	2013	"percpar"	7.87	NA	"environParam"	"plothalf"	"percpar_N"
"2647"	3	"I_3"	"I"	2011	"percpar"	5.24	NA	"environParam"	"plothalf"	"percpar_I"
"2648"	3	"I_3"	"I"	2012	"percpar"	3.46	NA	"environParam"	"plothalf"	"percpar_I"
"2649"	3	"I_3"	"I"	2013	"percpar"	9.57	NA	"environParam"	"plothalf"	"percpar_I"
"2650"	3	"N_3"	"N"	2011	"percpar"	13.15	NA	"environParam"	"plothalf"	"percpar_N"
"2651"	3	"N_3"	"N"	2012	"percpar"	3.63	NA	"environParam"	"plothalf"	"percpar_N"
"2652"	3	"N_3"	"N"	2013	"percpar"	10.34	NA	"environParam"	"plothalf"	"percpar_N"
"2653"	4	"I_4"	"I"	2011	"percpar"	1.93	NA	"environParam"	"plothalf"	"percpar_I"
"2654"	4	"I_4"	"I"	2012	"percpar"	2.59	NA	"environParam"	"plothalf"	"percpar_I"
"2655"	4	"I_4"	"I"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_I"
"2656"	4	"N_4"	"N"	2011	"percpar"	1.35	NA	"environParam"	"plothalf"	"percpar_N"
"2657"	4	"N_4"	"N"	2012	"percpar"	1.79	NA	"environParam"	"plothalf"	"percpar_N"
"2658"	4	"N_4"	"N"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_N"
"2659"	5	"I_5"	"I"	2011	"percpar"	4.32	NA	"environParam"	"plothalf"	"percpar_I"
"2660"	5	"I_5"	"I"	2012	"percpar"	5.27	NA	"environParam"	"plothalf"	"percpar_I"
"2661"	5	"I_5"	"I"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_I"
"2662"	5	"N_5"	"N"	2011	"percpar"	2.94	NA	"environParam"	"plothalf"	"percpar_N"
"2663"	5	"N_5"	"N"	2012	"percpar"	6.04	NA	"environParam"	"plothalf"	"percpar_N"
"2664"	5	"N_5"	"N"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_N"
"2665"	6	"I_6"	"I"	2011	"percpar"	7.05	NA	"environParam"	"plothalf"	"percpar_I"
"2666"	6	"I_6"	"I"	2012	"percpar"	1.91	NA	"environParam"	"plothalf"	"percpar_I"
"2667"	6	"I_6"	"I"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_I"
"2668"	6	"N_6"	"N"	2011	"percpar"	2.36	NA	"environParam"	"plothalf"	"percpar_N"
"2669"	6	"N_6"	"N"	2012	"percpar"	1.93	NA	"environParam"	"plothalf"	"percpar_N"
"2670"	6	"N_6"	"N"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_N"
"2671"	7	"I_7"	"I"	2011	"percpar"	40.3	NA	"environParam"	"plothalf"	"percpar_I"
"2672"	7	"I_7"	"I"	2012	"percpar"	3.35	NA	"environParam"	"plothalf"	"percpar_I"
"2673"	7	"I_7"	"I"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_I"
"2674"	7	"N_7"	"N"	2011	"percpar"	34.73	NA	"environParam"	"plothalf"	"percpar_N"
"2675"	7	"N_7"	"N"	2012	"percpar"	5.96	NA	"environParam"	"plothalf"	"percpar_N"
"2676"	7	"N_7"	"N"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_N"
"2677"	8	"I_8"	"I"	2011	"percpar"	88.09	NA	"environParam"	"plothalf"	"percpar_I"
"2678"	8	"I_8"	"I"	2012	"percpar"	69.5	NA	"environParam"	"plothalf"	"percpar_I"
"2679"	8	"I_8"	"I"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_I"
"2680"	8	"N_8"	"N"	2011	"percpar"	56.72	NA	"environParam"	"plothalf"	"percpar_N"
"2681"	8	"N_8"	"N"	2012	"percpar"	6.79	NA	"environParam"	"plothalf"	"percpar_N"
"2682"	8	"N_8"	"N"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_N"
"2683"	9	"I_9"	"I"	2011	"percpar"	3.57	NA	"environParam"	"plothalf"	"percpar_I"
"2684"	9	"I_9"	"I"	2012	"percpar"	3.71	NA	"environParam"	"plothalf"	"percpar_I"
"2685"	9	"I_9"	"I"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_I"
"2686"	9	"N_9"	"N"	2011	"percpar"	5.85	NA	"environParam"	"plothalf"	"percpar_N"
"2687"	9	"N_9"	"N"	2012	"percpar"	2.01	NA	"environParam"	"plothalf"	"percpar_N"
"2688"	9	"N_9"	"N"	2013	"percpar"	NA	NA	"environParam"	"plothalf"	"percpar_N"
"2689"	1	"I_1"	"I"	2011	"soiltemp"	12.1	NA	"environParam"	"plothalf"	"soiltemp_I"
"2690"	1	"I_1"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2691"	1	"I_1"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2692"	1	"N_1"	"N"	2011	"soiltemp"	10.7	NA	"environParam"	"plothalf"	"soiltemp_N"
"2693"	1	"N_1"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2694"	1	"N_1"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2695"	10	"I_10"	"I"	2011	"soiltemp"	11.7	NA	"environParam"	"plothalf"	"soiltemp_I"
"2696"	10	"I_10"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2697"	10	"I_10"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2698"	10	"N_10"	"N"	2011	"soiltemp"	10.7	NA	"environParam"	"plothalf"	"soiltemp_N"
"2699"	10	"N_10"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2700"	10	"N_10"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2701"	11	"I_11"	"I"	2011	"soiltemp"	10.4	NA	"environParam"	"plothalf"	"soiltemp_I"
"2702"	11	"I_11"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2703"	11	"I_11"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2704"	11	"N_11"	"N"	2011	"soiltemp"	9.9	NA	"environParam"	"plothalf"	"soiltemp_N"
"2705"	11	"N_11"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2706"	11	"N_11"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2707"	13	"I_13"	"I"	2011	"soiltemp"	11.5	NA	"environParam"	"plothalf"	"soiltemp_I"
"2708"	13	"I_13"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2709"	13	"I_13"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2710"	13	"N_13"	"N"	2011	"soiltemp"	12.3	NA	"environParam"	"plothalf"	"soiltemp_N"
"2711"	13	"N_13"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2712"	13	"N_13"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2713"	14	"I_14"	"I"	2011	"soiltemp"	10.5	NA	"environParam"	"plothalf"	"soiltemp_I"
"2714"	14	"I_14"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2715"	14	"I_14"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2716"	14	"N_14"	"N"	2011	"soiltemp"	11	NA	"environParam"	"plothalf"	"soiltemp_N"
"2717"	14	"N_14"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2718"	14	"N_14"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2719"	16	"I_16"	"I"	2011	"soiltemp"	10.9	NA	"environParam"	"plothalf"	"soiltemp_I"
"2720"	16	"I_16"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2721"	16	"I_16"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2722"	16	"N_16"	"N"	2011	"soiltemp"	11.1	NA	"environParam"	"plothalf"	"soiltemp_N"
"2723"	16	"N_16"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2724"	16	"N_16"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2725"	17	"I_17"	"I"	2011	"soiltemp"	11.6	NA	"environParam"	"plothalf"	"soiltemp_I"
"2726"	17	"I_17"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2727"	17	"I_17"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2728"	17	"N_17"	"N"	2011	"soiltemp"	11.3	NA	"environParam"	"plothalf"	"soiltemp_N"
"2729"	17	"N_17"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2730"	17	"N_17"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2731"	18	"I_18"	"I"	2011	"soiltemp"	12	NA	"environParam"	"plothalf"	"soiltemp_I"
"2732"	18	"I_18"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2733"	18	"I_18"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2734"	18	"N_18"	"N"	2011	"soiltemp"	12.8	NA	"environParam"	"plothalf"	"soiltemp_N"
"2735"	18	"N_18"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2736"	18	"N_18"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2737"	2	"I_2"	"I"	2011	"soiltemp"	11.8	NA	"environParam"	"plothalf"	"soiltemp_I"
"2738"	2	"I_2"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2739"	2	"I_2"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2740"	2	"N_2"	"N"	2011	"soiltemp"	12	NA	"environParam"	"plothalf"	"soiltemp_N"
"2741"	2	"N_2"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2742"	2	"N_2"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2743"	3	"I_3"	"I"	2011	"soiltemp"	11	NA	"environParam"	"plothalf"	"soiltemp_I"
"2744"	3	"I_3"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2745"	3	"I_3"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2746"	3	"N_3"	"N"	2011	"soiltemp"	11	NA	"environParam"	"plothalf"	"soiltemp_N"
"2747"	3	"N_3"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2748"	3	"N_3"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2749"	4	"I_4"	"I"	2011	"soiltemp"	11.1	NA	"environParam"	"plothalf"	"soiltemp_I"
"2750"	4	"I_4"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2751"	4	"I_4"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2752"	4	"N_4"	"N"	2011	"soiltemp"	11.4	NA	"environParam"	"plothalf"	"soiltemp_N"
"2753"	4	"N_4"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2754"	4	"N_4"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2755"	5	"I_5"	"I"	2011	"soiltemp"	11.9	NA	"environParam"	"plothalf"	"soiltemp_I"
"2756"	5	"I_5"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2757"	5	"I_5"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2758"	5	"N_5"	"N"	2011	"soiltemp"	11.9	NA	"environParam"	"plothalf"	"soiltemp_N"
"2759"	5	"N_5"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2760"	5	"N_5"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2761"	6	"I_6"	"I"	2011	"soiltemp"	11	NA	"environParam"	"plothalf"	"soiltemp_I"
"2762"	6	"I_6"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2763"	6	"I_6"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2764"	6	"N_6"	"N"	2011	"soiltemp"	11.1	NA	"environParam"	"plothalf"	"soiltemp_N"
"2765"	6	"N_6"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2766"	6	"N_6"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2767"	7	"I_7"	"I"	2011	"soiltemp"	11.2	NA	"environParam"	"plothalf"	"soiltemp_I"
"2768"	7	"I_7"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2769"	7	"I_7"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2770"	7	"N_7"	"N"	2011	"soiltemp"	11.7	NA	"environParam"	"plothalf"	"soiltemp_N"
"2771"	7	"N_7"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2772"	7	"N_7"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2773"	8	"I_8"	"I"	2011	"soiltemp"	12.3	NA	"environParam"	"plothalf"	"soiltemp_I"
"2774"	8	"I_8"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2775"	8	"I_8"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2776"	8	"N_8"	"N"	2011	"soiltemp"	12.3	NA	"environParam"	"plothalf"	"soiltemp_N"
"2777"	8	"N_8"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2778"	8	"N_8"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2779"	9	"I_9"	"I"	2011	"soiltemp"	12.7	NA	"environParam"	"plothalf"	"soiltemp_I"
"2780"	9	"I_9"	"I"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2781"	9	"I_9"	"I"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_I"
"2782"	9	"N_9"	"N"	2011	"soiltemp"	11.7	NA	"environParam"	"plothalf"	"soiltemp_N"
"2783"	9	"N_9"	"N"	2012	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
"2784"	9	"N_9"	"N"	2013	"soiltemp"	NA	NA	"environParam"	"plothalf"	"soiltemp_N"
