".id"	"term"	"depth"	"est"	"se"	"df"	"tval"	"pval"
"1"	"noi"	"(Intercept)"	"0-5cm"	0.980307430208485	0.691115964463797	16.0000004120003	1.4184413045198	0.175246326544606
"2"	"noi"	"PC1"	"0-5cm"	-0.566645118160553	0.428237161370843	16.0000004120045	-1.32320398432179	0.204366351226682
"3"	"noi"	"PC2"	"0-5cm"	0.870220045844757	0.440919132521813	16.000000412004	1.97364999987091	0.0659484091972733
"4"	"noi"	"mv_g.m2_logt"	"0-5cm"	-0.0863377569127702	0.177567849899337	16.0000004119857	-0.486224037525459	0.633400712844762
"5"	"noi"	"PC1:PC2"	"0-5cm"	-0.351191173591987	0.261221693464786	16.0000004119936	-1.34441810300617	0.197565122327903
"6"	"noi"	"PC1:mv_g.m2_logt"	"0-5cm"	0.153718515367705	0.109423237618221	16.0000004119948	1.40480686473591	0.179195479610458
"7"	"noi"	"PC2:mv_g.m2_logt"	"0-5cm"	-0.22567487946782	0.102822575959178	16.0000004119979	-2.1947989277901	0.0432805785106505
"8"	"noi"	"PC1:PC2:mv_g.m2_logt"	"0-5cm"	0.0464968643674978	0.0564747208699523	16.0000004119925	0.823321720784931	0.422427696605113
"9"	"noi"	"(Intercept)"	"5-15cm"	0.149258048449759	0.722416189511394	15.9999992397109	0.206609501028361	0.838921167595472
"10"	"noi"	"PC1"	"5-15cm"	0.0581194445855605	0.447631764033583	15.9999992397028	0.129837623813488	0.898313183869136
"11"	"noi"	"PC2"	"5-15cm"	0.169167353044287	0.460888094006347	15.999999239693	0.367046481009676	0.718393677335242
"12"	"noi"	"mv_g.m2_logt"	"5-15cm"	-0.0367169701630712	0.185609790686191	15.9999992396966	-0.19781806782568	0.84567880241609
"13"	"noi"	"PC1:PC2"	"5-15cm"	-0.0343854042064892	0.273052266354397	15.9999992396937	-0.125929752078527	0.90135636158486
"14"	"noi"	"PC1:mv_g.m2_logt"	"5-15cm"	-0.0152772510276024	0.114378950029732	15.999999239701	-0.133566980844212	0.89541054810957
"15"	"noi"	"PC2:mv_g.m2_logt"	"5-15cm"	-0.0801073255429615	0.107479348386643	15.9999992397011	-0.745327607074669	0.466882352159058
"16"	"noi"	"PC1:PC2:mv_g.m2_logt"	"5-15cm"	-0.000576644139189646	0.0590324269042807	15.9999992397081	-0.0097682607581873	0.992326941428262
"17"	"ammonifd"	"(Intercept)"	"0-5cm"	-0.225423143185963	0.244945756093298	1.3801900971139	-0.920298219415161	0.489538402860588
"18"	"ammonifd"	"PC1"	"0-5cm"	-0.218254591257543	0.0602257767003885	16.0089900424441	-3.62393983465446	0.00227909318727804
"19"	"ammonifd"	"PC2"	"0-5cm"	-0.0348806290361388	0.0600646933793237	16.0435036164251	-0.58071767412278	0.569499004778954
"20"	"ammonifd"	"mv_g.m2_logt"	"0-5cm"	0.111491342141899	0.0272756622927749	16.0924598180783	4.08757598422944	0.000849408963546239
"21"	"ammonifd"	"PC1:PC2"	"0-5cm"	-0.0719437544040451	0.0313917491151891	16.0006944666478	-2.29180458024349	0.0358170378069111
"22"	"ammonifd"	"PC1:mv_g.m2_logt"	"0-5cm"	0.0551988709396632	0.0150042584627875	16.0033088707555	3.67888030431918	0.00203035418763697
"23"	"ammonifd"	"PC2:mv_g.m2_logt"	"0-5cm"	0.00164693960115892	0.0146479925429904	16.01646531901	0.112434492052431	0.911876025041384
"24"	"ammonifd"	"PC1:PC2:mv_g.m2_logt"	"0-5cm"	0.0124542131054108	0.00736453906368276	16.0000702859307	1.69110558009355	0.11019931454843
"25"	"ammonifd"	"(Intercept)"	"5-15cm"	-0.0428045881826682	0.129428580499973	13.0000092891973	-0.330719753066264	0.74612591863585
"26"	"ammonifd"	"PC1"	"5-15cm"	0.00611971810255653	0.0818537354042532	13.0000092891974	0.0747640663230935	0.941540666650654
"27"	"ammonifd"	"PC2"	"5-15cm"	-0.0218229701950761	0.0901792365270848	13.0000092891985	-0.241995508450791	0.812559229672027
"28"	"ammonifd"	"mv_g.m2_logt"	"5-15cm"	0.0117125067156378	0.0353156955735515	13.0000092891979	0.33165159358802	0.745438223548471
"29"	"ammonifd"	"PC1:PC2"	"5-15cm"	-0.000243047287633115	0.0556189746735885	13.0000092891988	-0.0043698627862072	0.996579711490878
"30"	"ammonifd"	"PC1:mv_g.m2_logt"	"5-15cm"	0.00228697186144336	0.0208682907298877	13.0000092891979	0.109590760980148	0.914407592080596
"31"	"ammonifd"	"PC2:mv_g.m2_logt"	"5-15cm"	0.020521207687871	0.0219346194898734	13.0000092891987	0.935562511004355	0.366553022916268
"32"	"ammonifd"	"PC1:PC2:mv_g.m2_logt"	"5-15cm"	0.00349390031374233	0.01256445979021	13.0000092891994	0.278078036945504	0.78532604474817
"33"	"nitrifd"	"(Intercept)"	"0-5cm"	0.231096185846487	0.288803826582501	17.0000026523804	0.800183946941129	0.434644444269665
"34"	"nitrifd"	"PC1"	"0-5cm"	0.250710195287742	0.181621174558939	17.0000026523779	1.38040179454066	0.185345478744182
"35"	"nitrifd"	"PC2"	"0-5cm"	0.116093983580829	0.200109820655994	17.0000026523804	0.580151354892295	0.569423104210834
"36"	"nitrifd"	"mv_g.m2_logt"	"0-5cm"	-0.0739776767740353	0.0734190456151221	17.0000026523822	-1.0076088044217	0.327769837867265
"37"	"nitrifd"	"PC1:PC2"	"0-5cm"	0.0514709581101941	0.0928207277120711	17.0000026523817	0.554520088119288	0.58644495246036
