plotid	site	rep	inv	depth	nhi	noi	toti	nhf	nof	totf	incubation_start	incubation_end	incubation_hrs	incubation_days
8	LL	A	N	t	2.575376496	2.743905112	5.319281608	3.108513546	3.287601198	6.396114744	8/1/12 at noon	8/22/12 at 2pm	506	21
9	LL	B	I	t	1.026594839	4.661480756	5.688075595	0.489901695	7.384932599	7.874834294	8/1/12 at noon	8/22/12 at 2pm	506	21
10	LL	B	N	t	5.373385492	3.14657208	8.519957572	6.694611183	6.981033477	13.67564466	8/1/12 at noon	8/22/12 at 2pm	506	21
11	LL	C	I	t	2.678941558	2.162793736	4.841735294	1.670942846	4.559883138	6.230825985	8/1/12 at noon	8/22/12 at 2pm	506	21
12	LL	C	N	t	2.494922872	1.862363988	4.35728686	2.018123361	4.209805199	6.22792856	8/1/12 at noon	8/22/12 at 2pm	506	21
13	CEB	A	I	t	2.503121104	3.273428547	5.776549651	1.091515862	13.89570618	14.98722204	8/1/12 at noon	8/22/12 at 2pm	506	21
14	CEB	A	N	t	3.265556389	4.135434202	7.400990592	0.942579977	20.61877815	21.56135813	8/1/12 at noon	8/22/12 at 2pm	506	21
15	CEB	B	I	t	2.278473991	2.594403292	4.872877282	0.6297631	4.36412125	4.99388435	8/1/12 at noon	8/22/12 at 2pm	506	21
16	CEB	B	N	t	2.197900474	2.389911497	4.587811971	0.926547385	5.005534828	5.932082213	8/1/12 at noon	8/22/12 at 2pm	506	21
17	CEB	C	I	t	2.311206659	2.758525807	5.069732466	2.039933543	8.373225191	10.41315873	8/1/12 at noon	8/22/12 at 2pm	506	21
18	CEB	C	N	t	2.18975154	2.563888986	4.753640526	1.002170629	8.568740918	9.570911548	8/1/12 at noon	8/22/12 at 2pm	506	21
19	G48	B	I	t	3.353393994	3.730854696	7.08424869	0.994232624	12.72548055	13.71971317	8/1/12 at noon	8/22/12 at 2pm	506	21
20	G48	B	N	t	4.670047391	2.563670239	7.23371763	3.261853101	7.144591662	10.40644476	8/1/12 at noon	8/22/12 at 2pm	506	21
21	G48	C	I	t	2.874017754	3.240647634	6.114665388	1.541830173	7.964599981	9.506430154	8/1/12 at noon	8/22/12 at 2pm	506	21
22	G48	C	N	t	2.805654505	3.157741284	5.963395789	4.54652408	4.927703759	9.474227839	8/1/12 at noon	8/22/12 at 2pm	506	21
23	G48	D	I	t	1.368927179	2.350069071	3.71899625	BD	1.448171422	1.448171422	8/1/12 at noon	8/22/12 at 2pm	506	21
24	G48	D	N	t	6.246992816	5.180564368	11.42755718	2.214552125	4.721178903	6.935731028	8/1/12 at noon	8/22/12 at 2pm	506	21
25	G13	A	I	t	2.970525928	2.534798193	5.505324122	1.131436309	3.23187942	4.363315729	7/26/12 at 2pm	8/16/12 at 3pm	505	21
26	G13	A	N	t	2.302407683	2.190720418	4.493128101	2.102621211	3.02367362	5.126294831	7/26/12 at 2pm	8/16/12 at 3pm	505	21
27	G13	B	I	t	2.826812899	2.2926298	5.119442699	0.334221518	8.651402824	8.985624341	7/26/12 at 2pm	8/16/12 at 3pm	505	21
28	G13	B	N	t	1.680505732	2.476653186	4.157158918	2.995358556	3.581321947	6.576680503	7/26/12 at 2pm	8/16/12 at 3pm	505	21
29	G13	C	I	t	1.760136319	1.901848653	3.661984972	0.559650123	1.824084238	2.383734361	7/26/12 at 2pm	8/16/12 at 3pm	505	21
30	G13	C	N	t	2.121325269	1.687988446	3.809313715	2.433811076	2.558930308	4.992741384	7/26/12 at 2pm	8/16/12 at 3pm	505	21
31	G13	D	I	t	1.816363011	2.744322909	4.56068592	1.070623347	5.589956584	6.66057993	7/26/12 at 2pm	8/16/12 at 3pm	505	21
32	G13	D	N	t	1.159401278	2.975629012	4.13503029	0.632576636	3.42308685	4.055663487	7/26/12 at 2pm	8/16/12 at 3pm	505	21
33	K7	A	I	t	11.6805908	6.65330512	18.33389592	16.8898904	5.569573065	22.45946346	7/26/12 at 2pm	8/16/12 at 3pm	505	21
34	K7	A	N	t	3.244557652	4.247294179	7.491851831	1.081263168	13.73987694	14.82114011	7/26/12 at 2pm	8/16/12 at 3pm	505	21
35	K7	B	I	t	5.197531052	3.602365288	8.799896339	4.159282127	7.7776177	11.93689983	7/26/12 at 2pm	8/16/12 at 3pm	505	21
36	K7	B	N	t	6.18845292	5.12890104	11.31735396	10.21435944	6.651203415	16.86556286	7/26/12 at 2pm	8/16/12 at 3pm	505	21
