depth	batch	plothalfid	nhi	noi	toti	nhf	nof	totf	incubation_start	incubation_end	incubation_hrs	incubation_days
b	2	29	1.30465326	0.495390807	1.800044067	0.574796747	1.360707409	1.935504157	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	2	30	2.134276714	1.071427946	3.20570466	0.502290457	4.023602359	4.525892815	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	2	31	1.423621609	1.636694068	3.060315677	0.1787149	2.979154231	3.157869131	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	2	32	1.370019448	1.106597985	2.476617433	0.810294206	2.56911952	3.379413725	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	2	33	3.280629622	1.920942278	5.2015719	3.533064043	4.318425303	7.851489346	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	2	34	3.743681182	2.36553937	6.109220552	3.363209758	4.737247771	8.100457529	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	2	35	2.695942017	2.549830101	5.245772118	1.149740716	3.447332114	4.59707283	8/2/13 at 12pm	8/16/13 at 12pm	336	14
b	2	36	2.036188067	1.612040145	3.648228211	0.69202605	2.395505078	3.087531129	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	19	8.385866311	5.73376116	14.11962747	4.672647238	26.29337978	30.96602702	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	20	4.526010298	6.052772101	10.5787824	1.379529232	8.976039127	10.35556836	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	21	3.191926242	2.083490264	5.275416506	6.712287309	8.025029869	14.73731718	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	22	6.191807851	2.434834278	8.626642129	3.016451539	7.385511647	10.40196319	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	23	2.863304397	1.180114053	4.04341845	1.952082161	3.965668578	5.917750739	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	24	6.25726349	3.818262888	10.07552638	1.513103353	11.40713562	12.92023898	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	25	3.598045199	2.892542226	6.490587425	2.899887525	3.001766478	5.901654003	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	26	3.120366228	1.390167988	4.510534216	0.603655638	1.921060435	2.524716073	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	27	2.597052803	4.927710753	7.524763557	6.033676127	4.904390911	10.93806704	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	28	3.607906799	2.13602338	5.743930179	0.361678065	11.02292249	11.38460056	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	29	2.699077339	1.510490929	4.209568268	0.608541223	2.071405665	2.679946888	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	30	3.69381245	2.01378642	5.70759887	14.6964343	12.94320941	27.6396437	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	31	1.458257462	2.131152944	3.589410406	7.004441416	4.640988219	11.64542964	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	32	3.176893792	2.497865417	5.674759209	2.870800313	4.250142378	7.120942691	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	33	5.473177759	4.112845502	9.586023262	8.709054028	6.853218255	15.56227228	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	34	6.287653926	2.784532941	9.072186867	1.655913602	15.35707509	17.01298869	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	35	6.771643852	3.080381884	9.852025736	9.53037128	10.86539894	20.39577022	8/2/13 at 12pm	8/16/13 at 12pm	336	14
t	2	36	5.157439606	2.181025464	7.33846507	4.521400004	8.765074582	13.28647459	8/2/13 at 12pm	8/16/13 at 12pm	336	14
