"","term","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","elim.num","Pr..F.","source"
"nitrifd_T.litter_g.m2","litter_g.m2",0.14819690450169,0.14819690450169,1,25.7076962563802,1.58175326771325,"7",0.21981332242265,"nitrifd_T"
"nitrifd_T.nTrees","nTrees",0.303335344600819,0.303335344600819,1,26.0061209836893,3.20793638313038,"8",0.0849291181395655,"nitrifd_T"
"nitrifd_T.noi_T","noi_T",1.07066605521849,1.07066605521849,1,18.7375400878159,10.4531211126154,"kept",0.00443569348520256,"nitrifd_T"
"nitrifd_T.soilmoi_T","soilmoi_T",1.54297403261467,1.54297403261467,1,24.7799606884759,15.0643558352566,"kept",0.000679887257810874,"nitrifd_T"
"nitrifd_T.mv.logt","mv.logt",0.131270557463735,0.131270557463735,1,27.0609661882769,1.28162000560384,"kept",0.267530265117267,"nitrifd_T"
"minzd_T.ph_T","ph_T",0.0367831381359673,0.0367831381359673,1,20.193270998082,0.376894801620491,"1",0.546124474204221,"minzd_T"
"minzd_T.som_T","som_T",0.131558055890624,0.131558055890624,1,21.8396470874812,1.38310960272195,"2",0.252233198595401,"minzd_T"
"minzd_T.nTrees","nTrees",0.128826233668802,0.128826233668802,1,22.0393264730543,1.35485019999361,"3",0.256878477937238,"minzd_T"
"minzd_T.nat_g.m2","nat_g.m2",0.0243939666756446,0.0243939666756446,1,23.3175315642562,0.253411652365199,"4",0.619405564473634,"minzd_T"
"minzd_T.litter_g.m2","litter_g.m2",0.188666363632774,0.188666363632774,1,24.3874081579324,2.02990873451994,"5",0.166902268158686,"minzd_T"
"minzd_T.BA_total","BA_total",0.222934078918063,0.222934078918063,1,25.0402858899906,2.32840585652454,"6",0.139564831511723,"minzd_T"
"minzd_T.nhi_T","nhi_T",0.314442632228685,0.314442632228685,1,26.4731994641077,3.11472946838194,"7",0.0891230607373181,"minzd_T"
"minzd_T.noi_T","noi_T",1.05154987381325,1.05154987381325,1,27.9485776148713,9.7866607121762,"kept",0.00408430815631555,"minzd_T"
"minzd_T.soilmoi_T","soilmoi_T",1.70261562537619,1.70261562537619,1,27.7457999445633,15.8460591016776,"kept",0.000448174507301058,"minzd_T"
"minzd_T.mv.logt","mv.logt",0.00357097502930968,0.00357097502930968,1,27.0116770351622,0.0332346775876402,"kept",0.856705611986807,"minzd_T"
"minzd_B.nhi_B","nhi_B",0.00150918695486014,0.00150918695486014,1,21.0000102717448,0.0327981426726678,"1",0.858023568390158,"minzd_B"
"minzd_B.soilmoi_B","soilmoi_B",0.00696133853358067,0.00696133853358067,1,22.0000112502173,0.158243029745212,"2",0.694612989270019,"minzd_B"
"minzd_B.nTrees","nTrees",0.0175836741616741,0.0175836741616741,1,23.0000122150416,0.414890964792026,"3",0.525869441393936,"minzd_B"
"minzd_B.litter_g.m2","litter_g.m2",0.0630896211967714,0.0630896211967714,1,24.0000130565517,1.52581321358453,"4",0.228697965551747,"minzd_B"
"minzd_B.som_B","som_B",0.0623965969385228,0.0623965969385228,1,24.2914166731632,1.51168217756191,"5",0.230659035054283,"minzd_B"
"minzd_B.ph_B","ph_B",0.117855998313367,0.117855998313367,1,23.0385937542926,2.82022207466156,"6",0.106596451235872,"minzd_B"
"minzd_B.BA_total","BA_total",0.1352023056296,0.1352023056296,1,26.1981654262239,3.1564363356466,"7",0.0872435335278103,"minzd_B"
"minzd_B.nat_g.m2","nat_g.m2",0.433422716643681,0.433422716643681,1,27.2591132836069,9.30166185218133,"kept",0.00505093569320381,"minzd_B"
"minzd_B.noi_B","noi_B",0.561294004893135,0.561294004893135,1,26.1719104041869,12.0459007631221,"kept",0.00181524529497001,"minzd_B"
"minzd_B.mv.logt","mv.logt",0.0377353089214709,0.0377353089214709,1,27.5489451027871,0.809835456233559,"kept",0.375968338530568,"minzd_B"
