"","term","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","elim.num","Pr..F.","source"
"ammonifd_B.litter_g.m2","litter_g.m2",0.000365099684529252,0.000365099684529252,1,20.0000189802537,0.0154071959798985,"1",0.902454777048992,"ammonifd_B"
"ammonifd_B.nitrifd_B","nitrifd_B",0.00575956080067106,0.00575956080067106,1,21.0000209236305,0.255009512645364,"2",0.618828113543877,"ammonifd_B"
"ammonifd_B.soilmoi_B","soilmoi_B",0.00918665069863146,0.00918665069863146,1,22.000022693242,0.421003391865228,"3",0.52315298163545,"ammonifd_B"
"ammonifd_B.nhi_B","nhi_B",0.00983217028312484,0.00983217028312484,1,23.0000243245034,0.462221959436613,"4",0.503373471090604,"ammonifd_B"
"ammonifd_B.ph_B","ph_B",0.0132770915869669,0.0132770915869669,1,24.0000259695075,0.638478439825524,"5",0.43209947223975,"ammonifd_B"
"ammonifd_B.som_B","som_B",0.021780685701408,0.021780685701408,1,25.0000274566714,1.06277409017818,"6",0.312454237769158,"ammonifd_B"
"ammonifd_B.nTrees","nTrees",0.024664191424409,0.024664191424409,1,26.0000284735741,1.20057418445259,"7",0.283253058033243,"ammonifd_B"
"ammonifd_B.BA_total","BA_total",0.15982387119851,0.15982387119851,1,27.0000293477056,7.72234955823269,"kept",0.00980598648097675,"ammonifd_B"
"ammonifd_B.nat_g.m2","nat_g.m2",0.28900329898469,0.28900329898469,1,27.0000293477059,13.9640247824446,"kept",0.000884051170212174,"ammonifd_B"
"ammonifd_B.noi_B","noi_B",0.36291794832587,0.36291794832587,1,27.0000293477066,17.5354234440239,"kept",0.000269021842374872,"ammonifd_B"
"ammonifd_B.mv.logt","mv.logt",0.0641735129831308,0.0641735129831308,1,27.0000293477053,3.10072766927286,"kept",0.0895810832315442,"ammonifd_B"
"nitrifd_T.ammonifd_T","ammonifd_T",0.00122849201355748,0.00122849201355748,1,20.0000044569815,0.0121658503642094,"1",0.913271626003137,"nitrifd_T"
"nitrifd_T.ph_T","ph_T",0.00331614786314514,0.00331614786314514,1,21.0000049175945,0.0344611067665123,"2",0.85451076830469,"nitrifd_T"
"nitrifd_T.som_T","som_T",0.130768785436953,0.130768785436953,1,22.0000054165125,1.42131622962455,"3",0.245888309565488,"nitrifd_T"
"nitrifd_T.nhi_T","nhi_T",0.14223872356632,0.14223872356632,1,23.0000055008624,1.51817211248413,"4",0.230344547456267,"nitrifd_T"
"nitrifd_T.nat_g.m2","nat_g.m2",0.117004002235253,0.117004002235253,1,23.7495644071838,1.26065463635181,"5",0.272750028426239,"nitrifd_T"
"nitrifd_T.BA_total","BA_total",0.104876147681181,0.104876147681181,1,24.297316140216,1.13303002291683,"6",0.297594415406692,"nitrifd_T"
