year	plothalfid	plotid	site	rep	inv	depth	nhi	noi	toti	ammonifd	nitrifd	minzd	soilmoi	som
2011	21	11	G48	C	I	F	1.6587	0.7296	2.3883	-0.0022	0.0114	0.0091	15.4867	6.2827
2012	16	8	CEB	B	N	T	2.1979	2.3899	4.5878	-0.0603	0.1241	0.0638	18.8462	6.1611
2012	9	5	LL	B	I	T	1.0266	4.6615	5.6881	-0.0255	0.1292	0.1037	12.234	6.0606
2012	6	3	G2	C	N	T	1.6032	2.3053	3.9085	0.1502	0.0414	0.1916	9.1743	6.0606
2012	14	7	CEB	A	N	B	0.8709	3.427	4.2979	-0.024	0.2436	0.2196	26.2963	6.0302
2013	10	5	LL	B	N	T	1.3791	1.6366	3.0157	-0.0524	0.6893	0.6369	17.8349	6.0295
2011	28	14	G13	B	N	F	0.4019	0.6607	1.0626	0.0019	0.0026	0.0045	21.0938	5.9406
2012	33	17	K7	A	I	B	2.8811	4.6401	7.5212	NA	0.2192	0.0823	23.7942	5.9072
2011	30	15	G13	C	N	F	4.9216	1.8999	6.8215	-0.0007	0.0023	0.0015	13.6187	5.8559
2012	4	2	G2	B	N	T	2.3465	2.4318	4.7783	0.0702	0.0415	0.1117	10.7407	5.8091
2011	16	8	CEB	B	N	F	1.3479	2.8444	4.1923	0.0058	0.0187	0.0245	11.7021	5.6225
2012	2	1	G2	A	N	T	2.1305	2.905	5.0355	0.1604	-0.0266	0.1338	8.8983	5.5814
2013	5	3	G2	C	I	T	3.196	0.6282	3.8242	0.0538	0.1054	0.1592	17.3202	5.4845
2013	13	7	CEB	A	I	B	2.6207	1.6632	4.2839	-0.1781	0.6954	0.5173	30.2913	5.3853
2012	18	9	CEB	C	N	T	2.1898	2.5639	4.7536	-0.0563	0.2848	0.2285	16.791	5.3812
2012	1	1	G2	A	I	T	2.0639	2.5159	4.5798	-0.0226	0.0041	-0.0185	14.8289	5.3571
2012	26	13	G13	A	N	T	2.3024	2.1907	4.4931	-0.0095	0.0396	0.0301	16.5992	5.3398
2012	25	13	G13	A	I	B	3.0433	1.8639	4.9071	-0.0255	-0.0311	-0.0566	15.3846	5.303
2011	27	14	G13	B	I	F	0.5754	0.5801	1.1555	-0.0007	0.005	0.0042	21.8659	5.2239
2012	34	17	K7	A	N	B	3.11	2.0475	5.1575	-0.0184	-0.0093	-0.0277	13.1034	5.1587
2012	12	6	LL	C	N	T	2.4949	1.8624	4.3573	-0.0226	0.1113	0.0887	10.3448	5.1282
2011	29	15	G13	C	I	F	1.1099	0.8821	1.9919	-0.0015	0.006	0.0045	13.0564	5.1195
2011	23	12	G48	D	I	F	1.0597	0.9227	1.9823	-0.0001	0.0053	0.0052	14.1463	5.1136
2012	16	8	CEB	B	N	B	2.5607	1.7695	4.3302	-0.1035	0.186	0.0825	15.4321	5.1095
2013	26	13	G13	A	N	T	3.1204	1.3902	4.5105	-0.1798	0.0379	-0.1418	19.7492	5.0781
2013	34	17	K7	A	N	B	3.7437	2.3655	6.1092	-0.0272	0.1694	0.1422	17.974	5.0348
2012	11	6	LL	C	I	T	2.6789	2.1628	4.8417	-0.0478	0.1137	0.0659	9.1324	5.0251
2012	21	11	G48	C	I	B	1.2348	0.4054	1.6403	0.3761	0.1963	0.5724	13.6691	5
2012	22	11	G48	C	N	B	2.297	1.6136	3.9106	0.0013	0.045	0.0463	13.7931	5
2011	31	16	G13	D	I	F	0.986	1.2724	2.2584	-0.0009	0.0047	0.0037	19.0476	4.9774
2013	22	11	G48	C	N	B	3.9632	1.564	5.5271	-0.2371	0.125	-0.1121	9.7323	4.9546
2011	24	12	G48	D	N	F	1.9394	7.7886	9.728	-0.0026	0.0109	0.0083	13.3903	4.9342
2012	19	10	G48	B	I	B	3.2933	1.9236	5.2169	0.4443	0.806	1.2503	18.5053	4.8035
2013	24	12	G48	D	N	T	6.2573	3.8183	10.0755	-0.3389	0.5421	0.2032	15.7982	4.666
2011	10	5	LL	B	N	F	1.0668	2.7679	3.8348	0.0014	0.0072	0.0086	12.7737	4.6025
2011	17	9	CEB	C	I	F	0.7453	0.8354	1.5807	-0.0009	0.008	0.007	11.2245	4.5977
2013	17	9	CEB	C	I	T	1.6463	0.571	2.2173	-0.0076	0.405	0.3975	28.1961	4.5962
2013	18	9	CEB	C	N	T	1.9715	0.5399	2.5114	-0.1326	-0.0109	-0.1435	18.1782	4.5783
2012	5	3	G2	C	I	T	1.7023	2.4096	4.1118	-0.0304	0.0673	0.0368	8.8542	4.5714
2012	31	16	G13	D	I	T	1.8164	2.7443	4.5607	-0.0354	0.1352	0.0998	12.4444	4.5685
2013	5	3	G2	C	I	B	1.6917	1.0034	2.695	0.1032	0.0774	0.1806	17.9993	4.5351
2013	12	6	LL	C	N	T	0.5682	0.7417	1.3098	0.0188	0.3438	0.3627	18.0576	4.5265
2013	11	6	LL	C	I	T	0.9186	0.4651	1.3838	0.057	0.1718	0.2288	19.0836	4.495
2011	8	4	LL	A	N	F	1.4071	2.967	4.3741	-0.0017	0.0025	0.0007	15.4472	4.4872
2013	14	7	CEB	A	N	B	3.6827	1.5038	5.1865	-0.2362	0.5452	0.3089	28.0992	4.4444
2012	32	16	G13	D	N	T	1.1594	2.9756	4.135	-0.025	0.0213	-0.0038	12.6374	4.4025
2012	20	10	G48	B	N	B	3.0485	0.7399	3.7884	-0.0163	0.2484	0.2321	15.3333	4.3307
2013	33	17	K7	A	I	B	3.2806	1.9209	5.2016	0.018	0.1712	0.1893	22.2744	4.3159
2013	17	9	CEB	C	I	B	3.073	0.9384	4.0115	0.1989	0.5098	0.7087	27.616	4.3011
2012	28	14	G13	B	N	B	1.8156	1.6501	3.4657	-0.0596	0.0344	-0.0252	14.5985	4.2735
2012	35	18	K7	B	I	B	1.7542	2.5644	4.3186	NA	0.0739	-0.0094	19.3182	4.2254
