year	dates	event_description	
2011	10/5/11	environ data collection	
2011	10/13/11	field soil collection	
2011	10/25/11	veg data collection	
2012	7/25/12 and 8/1/12	environ data collection (except PAR)	
2012	7/25/12 and 8/1/12	field soil collection	
2012	7/25/12 and 8/1/12	veg data collection	
2012	8/30/12	PAR	
2012	7/16/12	plot tree id and dbh (10m diameter plots)	
2013	7/22/13	"Batch 1 environ, soil, and veg data collection"	
2013	7/29/13	"Batch 2 environ, soil, and veg data collection"	
