year	plothalfid	depth	plotid	site	rep	inv	soilwt_g	ph_1	ph_2	notes
2012	5	B	3	G2	C	I	15.264	5.87	5.86	
2012	6	B	3	G2	C	N	15.238	5.73	5.71	
2012	7	B	4	LL	A	I	15.276	6.07	6.11	
2012	8	B	4	LL	A	N	15.218	6.05	6.06	
2012	9	B	5	LL	B	I	15.422	6.15	6.13	
2012	10	B	5	LL	B	N	15.680	5.31	5.29	
2012	11	B	6	LL	C	I	15.325	5.86	5.86	
2012	12	B	6	LL	C	N	15.844	5.85	5.88	
2012	13	B	7	CEB	A	I	15.230	5.55	5.62	
2012	14	B	7	CEB	A	N	15.681	5.94	5.9	
2012	15	B	8	CEB	B	I	14.977	6.09	6.11	
2012	16	B	8	CEB	B	N	14.940	6.18	6.22	
2012	17	B	9	CEB	C	I	15.149	5.78	5.75	
2012	18	B	9	CEB	C	N	15.333	5.5	5.47	
2012	19	B	10	G48	B	I	15.579	5.8	5.81	
2012	20	B	10	G48	B	N	15.846	5.84	5.84	
2012	21	B	11	G48	C	I	15.686	6.06	6.05	
2012	22	B	11	G48	C	N	15.318	6.03	6.01	
2012	23	B	12	G48	D	I	14.938	6.07	6.05	
2012	24	B	12	G48	D	N	15.699	6.37	6.38	
2012	25	B	13	G13	A	I	15.512	5.98	5.96	
2012	26	B	13	G13	A	N	15.218	5.79	5.77	
2012	27	B	14	G13	B	I	15.315	5.47	5.43	
2012	28	B	14	G13	B	N	15.672	5.57	5.54	
2012	29	B	15	G13	C	I	15.511	5.53	5.53	
2012	30	B	15	G13	C	N	15.271	5.94	5.94	
2012	31	B	16	G13	D	I	15.206	5.77	5.74	
2012	32	B	16	G13	D	N	14.914	5.64	5.63	
2012	33	B	17	K7	A	I	15.155	6.06	6.08	
2012	34	B	17	K7	A	N	14.932	6.2	6.18	
2012	35	B	18	K7	B	I	15.623	6.07	6.05	
2012	36	B	18	K7	B	N	15.275	6.08	6.09	
2013	1	B	1	G2	A	I	14.998	6.57	6.56	
2013	2	B	1	G2	A	N	15.374	6.51	6.5	
2013	3	B	2	G2	B	I	15.367	6.91	6.9	
2013	4	B	2	G2	B	N	15.371	6.84	6.85	
2013	5	B	3	G2	C	I	15.097	6.42	6.44	
2013	6	B	3	G2	C	N	15.368	6.41	6.52	
2013	7	B	4	LL	A	I	14.987	7.16	7.21	
2013	8	B	4	LL	A	N	14.965	6.76	6.78	
2013	9	B	5	LL	B	I	15.523	6.57	6.58	
2013	10	B	5	LL	B	N	15.100	6.37	6.36	
2013	11	B	6	LL	C	I	15.220	6.57	6.58	
2013	12	B	6	LL	C	N	15.241	6.41	6.42	
2013	13	B	7	CEB	A	I	15.214	5.85	5.82	
2013	14	B	7	CEB	A	N	15.575	6.32	6.29	
2013	15	B	8	CEB	B	I	15.584	6.35	6.41	
2013	16	B	8	CEB	B	N	15.323	6.45	6.47	
2013	17	B	9	CEB	C	I	15.136	6.11	6.08	
2013	18	B	9	CEB	C	N	15.507	5.75	5.72	
2013	19	B	10	G48	B	I	15.047	6.1	6.14	
2013	20	B	10	G48	B	N	14.953	6.3	6.29	
2013	21	B	11	G48	C	I	15.181	6.41	6.43	
2013	22	B	11	G48	C	N	15.224	6.06	6.02	
2013	23	B	12	G48	D	I	15.327	6.2	6.18	
2013	24	B	12	G48	D	N	15.043	6	5.98	
2013	25	B	13	G13	A	I	15.633	5.72	5.69	
2013	26	B	13	G13	A	N	14.971	5.85	5.89	
2013	27	B	14	G13	B	I	15.355	5.57	5.52	
2013	28	B	14	G13	B	N	14.922	5.72	5.71	
2013	29	B	15	G13	C	I	15.349	5.63	5.61	
2013	30	B	15	G13	C	N	15.212	5.96	5.94	
2013	31	B	16	G13	D	I	14.147	5.84	5.82	
2013	32	B	16	G13	D	N	15.069	5.86	5.84	
2013	33	B	17	K7	A	I	15.954	6.21	6.17	
2013	34	B	17	K7	A	N	14.954	5.74	5.7	
2013	35	B	18	K7	B	I	15.547	5.88	5.87	
2013	36	B	18	K7	B	N	15.037	6.01	6.01	
