"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"variable"	"value"
"2011"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"mv"	3.14
"2011"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"mv"	0
"2011"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"mv"	3.19
"2011"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"mv"	0
"2011"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"mv"	12.79
"2011"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"mv"	0
"2011"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"mv"	2.9
"2011"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"mv"	0
"2011"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"mv"	16.74
"2011"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"mv"	0
"2011"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"mv"	14.13
"2011"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"mv"	0
"2011"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"mv"	14.45
"2011"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"mv"	0
"2011"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"mv"	4.04
"2011"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"mv"	0
"2011"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"mv"	182.5
"2011"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"mv"	0
"2011"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"mv"	2.84
"2011"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"mv"	0
"2011"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"mv"	2.03
"2011"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"mv"	0
"2011"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"mv"	7.6
"2011"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"mv"	0
"2011"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"mv"	9.45
"2011"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"mv"	0
"2011"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"mv"	5.31
"2011"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"mv"	0
"2011"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"mv"	12.57
"2011"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"mv"	0
"2011"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"mv"	1.15
"2011"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"mv"	0
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"nat"	24.91
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"nat"	8.5
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"nat"	4.72
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"nat"	13.93
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"nat"	4.13
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"nat"	3.14
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"nat"	0.58
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"nat"	0.4
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"nat"	0
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"nat"	0
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"nat"	23.59
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"nat"	5.95
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"nat"	5.97
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"nat"	20.57
