"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"depth"	"variable"	"value"
"2011"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"F"	"noi"	0.1266
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"B"	"noi"	1.6646
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"B"	"noi"	3.1644
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"T"	"noi"	1.0429
"2011"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"F"	"noi"	2.3788
"2011"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"F"	"noi"	2.4602
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"B"	"noi"	0.6257
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"B"	"noi"	0.5666
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"B"	"noi"	0.8659
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"T"	"noi"	2.5944
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"B"	"noi"	1.573
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"B"	"noi"	1.808
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"B"	"noi"	1.1561
"2011"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"F"	"noi"	3.3356
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"B"	"noi"	0.5364
"2011"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"F"	"noi"	1.1526
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"B"	"noi"	0.6493
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"B"	"noi"	2.5169
"2011"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"F"	"noi"	1.0734
"2011"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"F"	"noi"	2.5598
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"T"	"noi"	2.4979
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"B"	"noi"	1.8617
"2011"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"F"	"noi"	0.9851
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"B"	"noi"	0.3511
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"B"	"noi"	1.5205
"2011"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"F"	"noi"	2.2416
"2011"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"F"	"noi"	1.7182
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"B"	"noi"	3.0856
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"B"	"noi"	1.6853
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"B"	"noi"	1.612
"2011"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"F"	"noi"	1.8716
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"B"	"noi"	0.6415
"2011"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"F"	"noi"	1e-04
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"B"	"noi"	2.5083
"2011"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"F"	"noi"	1.8498
"2011"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"F"	"noi"	2.1087
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"B"	"noi"	0.6697
"2011"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"F"	"noi"	0.882
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"B"	"noi"	1.0865
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"B"	"noi"	1e-04
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"B"	"noi"	1.466
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"B"	"noi"	2.5498
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"B"	"noi"	0.7646
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"B"	"noi"	1.5242
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"B"	"noi"	0.7973
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"B"	"noi"	1.1235
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"B"	"noi"	1.2022
"2011"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"F"	"noi"	1.2653
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"B"	"noi"	2.6434
"2011"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"F"	"noi"	1.215
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"B"	"noi"	1.6367
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"B"	"noi"	1e-04
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"B"	"noi"	0.3454
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"B"	"noi"	0.5185
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"B"	"noi"	1.4556
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"B"	"noi"	0.8201
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"B"	"noi"	1.3695
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"B"	"noi"	0.7907
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"B"	"noi"	0.5833
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"B"	"noi"	1.7412
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"B"	"noi"	1.0714
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"B"	"noi"	0.4954
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"B"	"noi"	1.1066
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"B"	"noi"	0.1762
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"B"	"noi"	1.8026
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"B"	"noi"	1.3799
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"B"	"noi"	1.434
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"B"	"noi"	0.9207
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"B"	"noi"	2.2816
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"B"	"noi"	1.5958
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"B"	"noi"	0.574
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"B"	"noi"	0.227
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"T"	"toti"	18.3339
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"toti"	9.0722
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"toti"	11.4276
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"toti"	11.3174
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"toti"	14.1196
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"toti"	6.4906
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"toti"	6.1147
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"toti"	7.401
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"toti"	7.0842
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"toti"	4.1281
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"toti"	5.7765
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"toti"	4.0434
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"B"	"toti"	8.0785
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"toti"	5.9634
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"T"	"toti"	4.2096
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"T"	"toti"	2.8757
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"toti"	5.5053
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"toti"	5.7439
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"toti"	3.5328
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"toti"	5.2754
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"toti"	7.2337
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"toti"	7.4919
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"T"	"toti"	8.52
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"toti"	4.1572
"2011"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"F"	"toti"	3.4876
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"toti"	7.3385
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"T"	"toti"	5.0697
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"T"	"toti"	5.1194
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"toti"	2.7601
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"T"	"toti"	3.2427
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"T"	"toti"	5.7076
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"T"	"toti"	8.7999
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"toti"	10.5788
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"toti"	4.4249
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"toti"	6.9764
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"toti"	8.6266
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"toti"	3.719
"2011"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"F"	"toti"	4.1967
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"T"	"toti"	4.3203
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"T"	"toti"	3.5894
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"B"	"toti"	4.5835
"2011"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"F"	"toti"	1.9717
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"T"	"toti"	9.852
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"T"	"toti"	2.4821
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"T"	"toti"	3.662
"2011"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"F"	"toti"	4.3557
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"T"	"toti"	9.586
"2011"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"F"	"toti"	0.6223
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"T"	"toti"	2.1759
"2011"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"F"	"toti"	2.0341
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"T"	"toti"	5.6653
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"T"	"toti"	3.8093
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"T"	"toti"	2.8841
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"T"	"toti"	7.5248
"2011"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"F"	"toti"	4.0743
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"T"	"toti"	3.7706
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"T"	"toti"	5.3193
"2011"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"F"	"toti"	2.3883
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"T"	"toti"	4.5878
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"T"	"toti"	5.6881
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"T"	"toti"	3.9085
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"B"	"toti"	4.2979
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"T"	"toti"	3.0157
"2011"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"F"	"toti"	1.0626
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"B"	"toti"	7.5212
"2011"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"F"	"toti"	6.8215
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"toti"	4.7783
"2011"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"F"	"toti"	4.1923
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"T"	"toti"	5.0355
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"T"	"toti"	3.8242
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"B"	"toti"	4.2839
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"T"	"toti"	4.7536
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"T"	"toti"	4.5798
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"toti"	4.4931
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"B"	"toti"	4.9071
"2011"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"F"	"toti"	1.1555
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"toti"	5.1575
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"T"	"toti"	4.3573
"2011"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"F"	"toti"	1.9919
"2011"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"F"	"toti"	1.9823
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"B"	"toti"	4.3302
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"toti"	4.5105
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"toti"	6.1092
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"T"	"toti"	4.8417
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"B"	"toti"	1.6403
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"toti"	3.9106
"2011"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"F"	"toti"	2.2584
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"toti"	5.5271
"2011"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"F"	"toti"	9.728
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"B"	"toti"	5.2169
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"toti"	10.0755
"2011"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"F"	"toti"	3.8348
"2011"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"F"	"toti"	1.5807
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"T"	"toti"	2.2173
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"T"	"toti"	2.5114
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"T"	"toti"	4.1118
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"T"	"toti"	4.5607
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"B"	"toti"	2.695
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"T"	"toti"	1.3098
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"T"	"toti"	1.3838
"2011"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"F"	"toti"	4.3741
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"B"	"toti"	5.1865
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"T"	"toti"	4.135
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"B"	"toti"	3.7884
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"B"	"toti"	5.2016
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"B"	"toti"	4.0115
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"B"	"toti"	3.4657
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"B"	"toti"	4.3186
"2011"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"F"	"toti"	0.809
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"B"	"toti"	4.3733
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"B"	"toti"	5.4389
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"T"	"toti"	2.9929
"2011"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"F"	"toti"	3.9221
"2011"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"F"	"toti"	3.6288
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"B"	"toti"	2.1229
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"B"	"toti"	2.3343
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"B"	"toti"	3.7421
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"T"	"toti"	4.8729
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"B"	"toti"	3.5323
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"B"	"toti"	6.549
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"B"	"toti"	3.233
"2011"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"F"	"toti"	4.9348
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"B"	"toti"	1.9243
"2011"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"F"	"toti"	1.9301
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"B"	"toti"	2.7945
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"B"	"toti"	4.3297
"2011"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"F"	"toti"	3.3933
"2011"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"F"	"toti"	3.4573
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"T"	"toti"	5.6748
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"B"	"toti"	8.3517
"2011"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"F"	"toti"	2.564
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"B"	"toti"	3.4592
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"B"	"toti"	5.3148
"2011"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"F"	"toti"	2.9516
"2011"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"F"	"toti"	2.589
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"B"	"toti"	5.8779
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"B"	"toti"	2.7566
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"B"	"toti"	3.6482
"2011"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"F"	"toti"	2.7033
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"B"	"toti"	1.7948
"2011"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"F"	"toti"	0.9177
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"B"	"toti"	3.7107
"2011"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"F"	"toti"	3.1779
"2011"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"F"	"toti"	3.0376
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"B"	"toti"	2.3048
"2011"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"F"	"toti"	2.1106
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"B"	"toti"	2.3976
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"B"	"toti"	1.0083
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"B"	"toti"	7.0783
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"B"	"toti"	5.2458
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"B"	"toti"	3.0572
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"B"	"toti"	3.0388
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"B"	"toti"	3.3515
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"B"	"toti"	2.9931
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"B"	"toti"	3.2383
"2011"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"F"	"toti"	2.5506
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"B"	"toti"	4.4597
"2011"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"F"	"toti"	1.7023
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"B"	"toti"	3.0603
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"B"	"toti"	2.1334
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"B"	"toti"	1.3855
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"B"	"toti"	1.6084
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"B"	"toti"	3.1765
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"B"	"toti"	2.1759
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"B"	"toti"	3.1699
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"B"	"toti"	1.5482
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"B"	"toti"	1.9333
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"B"	"toti"	2.6331
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"B"	"toti"	3.2057
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"B"	"toti"	1.8
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"B"	"toti"	2.4766
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"B"	"toti"	1.1011
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"B"	"toti"	2.762
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"B"	"toti"	5.1206
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"B"	"toti"	2.9031
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"B"	"toti"	2.0963
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"B"	"toti"	3.1974
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"B"	"toti"	2.7981
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"B"	"toti"	1.835
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"B"	"toti"	0.9439
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"T"	"ammonifd"	0.2476
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"ammonifd"	-0.3308
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"ammonifd"	-0.1913
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"ammonifd"	0.1913
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"ammonifd"	-0.2652
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"ammonifd"	-0.0499
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"ammonifd"	-0.0632
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"ammonifd"	-0.1102
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"ammonifd"	-0.1119
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"ammonifd"	-0.1757
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"ammonifd"	-0.067
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"ammonifd"	-0.0651
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"B"	"ammonifd"	0.1015
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"ammonifd"	0.0826
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"T"	"ammonifd"	-0.1493
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"T"	"ammonifd"	-0.0596
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"ammonifd"	-0.0874
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"ammonifd"	-0.2319
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"ammonifd"	-0.0177
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"ammonifd"	0.2515
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"ammonifd"	-0.0668
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"ammonifd"	-0.1028
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"T"	"ammonifd"	0.0627
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"T"	"ammonifd"	0.0625
"2011"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"F"	"ammonifd"	-0.001
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"ammonifd"	-0.0454
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"T"	"ammonifd"	-0.0129
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"T"	"ammonifd"	-0.1185
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"ammonifd"	0.4915
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"T"	"ammonifd"	-0.0531
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"T"	"ammonifd"	0.7859
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"T"	"ammonifd"	-0.0493
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"T"	"ammonifd"	-0.2247
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"ammonifd"	-0.1731
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"T"	"ammonifd"	0.1915
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"ammonifd"	-0.2268
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"ammonifd"	NA
"2011"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"F"	"ammonifd"	-0.0011
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"T"	"ammonifd"	0.0554
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"T"	"ammonifd"	0.3962
