"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"depth"	"variable"	"value"
"2011"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"F"	"nhi"	4.9216
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"T"	"nhi"	2.3465
"2011"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"F"	"nhi"	1.3479
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"T"	"nhi"	2.1305
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"T"	"nhi"	3.196
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"B"	"nhi"	2.6207
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"T"	"nhi"	2.1898
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"T"	"nhi"	2.0639
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"nhi"	2.3024
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"B"	"nhi"	3.0433
"2011"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"F"	"nhi"	0.5754
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"nhi"	3.11
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"T"	"nhi"	2.4949
"2011"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"F"	"nhi"	1.1099
"2011"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"F"	"nhi"	1.0597
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"B"	"nhi"	2.5607
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"T"	"nhi"	3.1204
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"B"	"nhi"	3.7437
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"T"	"nhi"	2.6789
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"B"	"nhi"	1.2348
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"nhi"	2.297
"2011"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"F"	"nhi"	0.986
"2013"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"B"	"nhi"	3.9632
"2011"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"F"	"nhi"	1.9394
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"B"	"nhi"	3.2933
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"nhi"	6.2573
"2011"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"F"	"nhi"	1.0668
"2011"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"F"	"nhi"	0.7453
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"T"	"nhi"	1.6463
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"T"	"nhi"	1.9715
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"T"	"nhi"	1.7023
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"T"	"nhi"	1.8164
"2013"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"B"	"nhi"	1.6917
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"T"	"nhi"	0.5682
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"T"	"nhi"	0.9186
"2011"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"F"	"nhi"	1.4071
"2013"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"B"	"nhi"	3.6827
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"T"	"nhi"	1.1594
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"B"	"nhi"	3.0485
"2013"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"B"	"nhi"	3.2806
"2013"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"B"	"nhi"	3.073
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"B"	"nhi"	1.8156
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"B"	"nhi"	1.7542
"2011"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"F"	"nhi"	0.6824
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"B"	"nhi"	2.7087
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"B"	"nhi"	2.2746
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"T"	"nhi"	1.95
"2011"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"F"	"nhi"	1.5433
"2011"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"F"	"nhi"	1.1685
"2013"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"B"	"nhi"	1.4971
"2013"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"B"	"nhi"	1.7677
"2013"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"B"	"nhi"	2.8762
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"T"	"nhi"	2.2785
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"B"	"nhi"	1.9593
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"B"	"nhi"	4.741
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"B"	"nhi"	2.0769
"2011"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"F"	"nhi"	1.5992
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"B"	"nhi"	1.3879
"2011"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"F"	"nhi"	0.7776
"2013"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"B"	"nhi"	2.1452
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"B"	"nhi"	1.8128
"2011"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"F"	"nhi"	2.3199
"2011"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"F"	"nhi"	0.8976
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"T"	"nhi"	3.1769
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"B"	"nhi"	6.49
"2011"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"F"	"nhi"	1.5789
"2013"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"B"	"nhi"	3.1081
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"B"	"nhi"	3.7943
"2011"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"F"	"nhi"	0.71
"2011"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"F"	"nhi"	0.8709
"2013"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"B"	"nhi"	2.7923
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"B"	"nhi"	1.0714
"2013"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"B"	"nhi"	2.0362
"2011"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"F"	"nhi"	0.8316
"2013"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"B"	"nhi"	1.1532
"2011"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"F"	"nhi"	0.9177
"2012"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"B"	"nhi"	1.2024
"2011"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"F"	"nhi"	1.3281
"2011"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"F"	"nhi"	0.9289
"2013"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"B"	"nhi"	1.6352
"2011"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"F"	"nhi"	1.2285
"2013"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"B"	"nhi"	1.3111
"2013"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"B"	"nhi"	1.0083
"2013"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"B"	"nhi"	5.6123
"2013"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"B"	"nhi"	2.6959
"2013"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"B"	"nhi"	2.2926
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"B"	"nhi"	1.5145
"2013"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"B"	"nhi"	2.5543
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"B"	"nhi"	1.8695
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"B"	"nhi"	2.0361
"2011"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"F"	"nhi"	1.2853
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"B"	"nhi"	1.8162
"2011"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"F"	"nhi"	0.4873
"2013"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"B"	"nhi"	1.4236
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"B"	"nhi"	2.1334
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"B"	"nhi"	1.0401
"2013"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"B"	"nhi"	1.0899
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"B"	"nhi"	1.7208
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"B"	"nhi"	1.3558
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"B"	"nhi"	1.8004
"2013"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"B"	"nhi"	0.7575
"2013"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"B"	"nhi"	1.35
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"B"	"nhi"	0.8918
"2013"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"B"	"nhi"	2.1343
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"B"	"nhi"	1.3047
"2013"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"B"	"nhi"	1.37
"2013"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"B"	"nhi"	0.925
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"B"	"nhi"	0.9594
"2013"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"B"	"nhi"	3.7407
"2012"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"B"	"nhi"	1.4691
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"B"	"nhi"	1.1755
"2012"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"B"	"nhi"	0.9158
"2012"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"B"	"nhi"	1.2023
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"B"	"nhi"	1.261
"2013"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"B"	"nhi"	0.7169
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"T"	"noi"	6.6533
"2013"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"T"	"noi"	2.7845
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"T"	"noi"	5.1806
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"T"	"noi"	5.1289
"2013"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"noi"	5.7338
"2013"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"T"	"noi"	2.8925
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"T"	"noi"	3.2406
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"T"	"noi"	4.1354
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"T"	"noi"	3.7309
"2013"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"noi"	1.3412
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"T"	"noi"	3.2734
"2013"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"T"	"noi"	1.1801
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"B"	"noi"	3.5122
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"T"	"noi"	3.1577
"2013"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"T"	"noi"	1.5105
